gene_name,number_of_reads_mapped
pta,77
group_4080,76
cpxR,76
cpxA_cpxA_1,74
ilvH,71
group_1369,71
glpK_2,71
glcC,70
menA,69
nusA,68
hemN_2_hemN_3,68
ibpA,67
group_6151,67
dnaB,67
pldB_pldB_2,66
ibpB,66
mdh_2,65
tatC,64
gcvH,64
uspA,63
hflC,63
uidA:CP146653.1:2405030-2406841,62
udp,62
rpoA,62
rplF,62
ilvE,62
exbB_1_exbB_2,62
alaA,62
tatD_tatD_2,61
hslV,61
rplA,60
nfuA,60
dnaQ,60
rpsI,59
rplM,59
bamD_bamD_1,59
rsmA,58
rpsL,58
luxS,58
group_3581,58
group_1656,58
glpR_4_glpR_5_glpR_1,58
galS,58
uspB,57
sspB,57
rpsF,57
group_7046,57
dxr,57
yhdT,56
yhcB,56
rpsB,56
mog_mog_2_mog_1,56
group_338,56
aroK,56
satP,55
pyrI,55
priB,55
mdaB,55
manX_2,55
group_800,55
group_755,55
cysC,55
can,55
argR,55
ygaZ,54
rpsK,54
rplJ,54
rplE,54
rplC,54
rsmE,53
rpsE,53
rpsD,53
rplK,53
rnhA_rnhA_2_rnhA_1,53
nuoH,53
mtnN,53
leuD,53
group_747,53
gntK,53
dsrF,53
diaA,53
tusB,52
rpsM,52
rplR,52
rplD,52
rbfA,52
group_8044,52
tusD,51
rpsG,51
rplW,51
recX,51
pncC_1,51
pdhR_2,51
hemD,51
group_78,51
group_1536,51
corC_1,51
cetB,51
artP,51
thiS,50
tatB,50
suhB,50
rpsR,50
rpsN,50
rimP,50
ispG_ispG_2,50
iclR,50
group_1239,50
erpA,50
cfa,50
yqjE,49
yfcE,49
yehT_yehT_1,49
ompA,49
lexA_4,49
ispF,49
hisM,49
group_8038,49
group_1743,49
engB,49
apaG,49
zapA,48
tatA,48
rplO,48
rplL,48
rpe_2,48
nagA_1,48
group_2400,48
group_1997,48
frr,48
fdhD,48
cysJ_2,48
arfA,48
yjcH,47
ygjH,47
tsaE,47
sfsA,47
rplX,47
ribF,47
purC,47
nsrR,47
nadK_nadK_2,47
mreD,47
group_8049,47
group_4683,47
fucU,47
slyA,46
rpsC,46
queD,46
nei,46
murF_murF_1,46
group_519,46
group_3296,46
fur,46
ftsL,46
dus,46
dsbE,46
coaE,46
ypeA_ypeA_1,45
ybgI,45
uspD_uspD_1,45
trxA_1,45
sucD,45
slyB,45
sdhC,45
rpsJ,45
nudE,45
hfq,45
group_3589,45
group_154,45
galE,45
ampD,45
ygaV,44
slyX,44
rfaH,44
plsY,44
group_4979,44
gph,44
zapD,43
yjaB_2,43
yccF,43
ybeY,43
trxA_2,43
rplN,43
rnt,43
nuoB,43
nrdH,43
iscU,43
iscA_1,43
ilvM,43
fabA,43
adk,43
sdhE,42
ribA,42
moaC,42
group_7810,42
group_4736,42
group_2865,42
folE_folE_2,42
dksA,42
ygbE,41
trpC_trpC_1,41
rsmD_rsmD_2,41
rpsO,41
rpmE,41
rpmD,41
ribC,41
ompX_1,41
nagB_1,41
glnK,41
dtd,41
rpsU,40
mukE,40
moaB,40
kdsB,40
iscR,40
hinT,40
group_4140,40
group_3752,40
bolA,40
ybfF,39
usg_usg_1,39
rpmJ,39
mug,39
group_7173,39
group_678,39
group_4003,39
group_334,39
fadR,39
clpS,39
yciK,38
ybjM,38
udk_udk_1,38
rplV,38
lolD_1,38
group_3713,38
group_2461,38
ftsB,38
bamE,38
apt,38
ubiX,37
msrC,37
group_876,37
gloA,37
folB,37
fldA,37
dps,37
csrA,37
yniC_2,36
ygdR_1,36
tusE,36
Stx2e_36_AJ313016|1236nt,36
rpsT,36
nuoI_2_nuoI_1,36
ndhC,36
htpX,36
grpE_grpE_1_grpE_2,36
gapA,36
crr,36
seqA,35
rpsQ,35
rpsP,35
rpmC,35
group_145,35
cidA,35
baeR_baeR_2,35
rplP,34
moaE,34
infC,34
group_1521,34
feoC,34
dgkA,34
rpsS,33
group_568,33
group_1178,33
exbD_2,33
rpmF,32
group_4205,32
group_2620,32
ybaN,31
rplT,31
pal,31
msrB,31
manZ_1_manZ_2,31
group_7366,31
group_1657,31
manY,30
group_744,30
group_7117,30
group_1184,30
truA,29
ihfB,29
H/H10-17-fliC/1-1263,29
group_125,29
ycdY,28
ybaB,28
mntS,28
minE,28
group_799,28
group_7422,28
group_4687,28
acrZ,28
ybgC,27
rpmI,27
rmf,27
pyrF,27
menI,27
lolB,27
grxD,27
group_1592,27
ccmC,27
bssS,27
napB,26
sra,25
cnu,25
group_3909,24
osmB,23
group_4093,22
group_390,22
group_2164,22
flgM,22
ccmD,21
iscA_2,20
napC,17
Stx2e_91_1706T56070:138:unpublished:138|1236nt,16
cydX,16
group_7622,11
Stx2e_52_FM998838|1235nt,6
Stx2e_36_AM939642|1236nt,5
Stx2l_21_GCF_015159895.1|1241nt,4
Stx2e_64_FN182286|1236nt,4
Stx2e_36_AJ567998|1236nt,4
Stx2e_31_GCF_002534745.1|1236nt,3
H/H10-18-fliC/1-1263,3
Stx2e_133_GCA_021534925|1236nt,2
H/H10-2-fliC-origin/1-1263,2
H/H10-19-fliC/1-1263,2
Stx2i_43_OLC3602|1242nt,1
Stx2e_80_X81418|1236nt,1
Stx2e_25_M21534|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
H/H10-22-fliC/1-1263,1
H/H10-20-fliC/1-1263,1
H/H10-1-fliC-origin/1-1263,1
#rname,numreads
