gene_name,number_of_reads_mapped
dnaB,58
menA,56
hemN_2_hemN_3,55
rpsB,51
cysJ_2,51
glpK_2,49
galS,49
nusA,48
pldB_pldB_2,47
tatC,46
nagA_1,46
group_4080,46
galE,45
cfa,45
yjaB_2,44
tsaE,44
ribF,44
pta,44
nagB_1,44
uidA:CP146653.1:2405030-2406841,43
dxr,43
tatD_tatD_2,42
rpsM,42
rpoA,42
rplN,42
group_7366,42
tatB,41
ibpA,41
htpX,41
cpxA_cpxA_1,41
udp,40
trxA_1,40
rimP,40
rfaH,40
plaP,40
group_8044,40
yniC_2,39
uspA,39
truA,39
tatA,39
rpsC,39
murF_murF_1,39
mtnN,39
ibpB,39
group_7046,39
fur,39
usg_usg_1,38
suhB,38
rpsK,38
rpsE,38
rplX,38
rplF,38
rplE,38
iclR,38
hfq,38
gntK,38
glnK,38
dus,38
zapD,37
ubiX,37
rplJ,37
purC,37
mreD,37
mdh_2,37
ilvE,37
hflC,37
group_8038,37
group_1997,37
group_1239,37
fabA,37
exbB_1_exbB_2,37
aroK,37
grpE_grpE_1_grpE_2,36
dksA,36
ygaZ,35
uspB,35
trxA_2,35
rplD,35
plsY,35
hslV,35
group_4683,35
group_1369,35
glpR_4_glpR_5_glpR_1,35
engB,35
corC_1,35
thiS,34
sfsA,34
rsmD_rsmD_2,34
rpsQ,34
rpsN,34
rpmC,34
rplP,34
rplO,34
pncC_1,34
leuD,34
group_876,34
fldA,34
dtd,34
cysC,34
cpxR,34
coaE,34
artP,34
yqjE,33
yjcH,33
yhdT,33
ybfF,33
sucD,33
satP,33
rpsG,33
rplR,33
rplC,33
pyrI,33
manZ_1_manZ_2,33
ispG_ispG_2,33
ispF,33
hisM,33
hemD,33
group_4979,33
group_3581,33
ftsB,33
dnaQ,33
ccmC,33
ygaV,32
yehT_yehT_1,32
trpC_trpC_1,32
rpsT,32
rpmD,32
rplL,32
ribC,32
rbfA,32
pyrF,32
ompX_1,32
nuoB,32
nrdH,32
nei,32
nadK_nadK_2,32
mdaB,32
kdsB,32
group_8049,32
group_7810,32
group_338,32
group_2461,32
gapA,32
frr,32
folB,32
erpA,32
arfA,32
alaA,32
slyX,31
rpsP,31
rpsL,31
rplV,31
rpe_2,31
recX,31
nfuA,31
mug,31
group_334,31
group_154,31
group_1536,31
group_1184,31
fucU,31
ygbE,30
sspB,30
rpsD,30
queD,30
mog_mog_2_mog_1,30
manX_2,30
lexA_4,30
group_755,30
group_747,30
group_7173,30
group_4736,30
group_1656,30
dps,30
diaA,30
cetB,30
bssS,30
bamD_bamD_1,30
ycdY,29
seqA,29
rpsU,29
rplW,29
rplA,29
manY,29
lolD_1,29
iscU,29
group_125,29
gph,29
dsbE,29
cidA,29
apt,29
adk,29
yccF,28
ybgI,28
ybaN,28
tusB,28
rsmE,28
rsmA,28
rpmJ,28
rmf,28
ompA,28
nudE,28
group_678,28
group_6151,28
group_519,28
group_145,28
cnu,28
argR,28
apaG,28
yfcE,27
uspD_uspD_1,27
rpsS,27
rpsO,27
rpmE,27
nsrR,27
mukE,27
lolB,27
grxD,27
group_744,27
group_3296,27
group_2865,27
clpS,27
can,27
bolA,27
bamE,27
ybaB,26
rpsJ,26
rnhA_rnhA_2_rnhA_1,26
msrB,26
group_568,26
group_4003,26
glcC,26
gcvH,26
folE_folE_2,26
fdhD,26
zapA,25
yhcB,25
ygjH,25
ybgC,25
rpsF,25
rplK,25
napB,25
iscA_2,25
ilvM,25
group_4687,25
group_2620,25
