gene_name,number_of_reads_mapped
pta,47
cpxA_cpxA_1,42
group_1656,40
group_3581,39
dnaB,39
group_4080,38
cpxR,37
pldB_pldB_2,36
group_8044,36
yjaB_2,35
tatD_tatD_2,35
rpsC,35
rplP,35
nagB_1,35
menA,35
iclR,35
hemN_2_hemN_3,35
glpR_4_glpR_5_glpR_1,35
diaA,35
tusD,34
nagA_1,34
group_800,34
group_2865,34
cfa,34
tusB,33
rplV,33
rfaH,33
group_78,33
group_747,33
dxr,33
dtd,33
dsrF,33
bamD_bamD_1,33
rpsL,32
plaP,32
ompX_1,32
mdh_2,32
group_8049,32
group_1743,32
group_1239,32
dps,32
yjcH,31
ygjH,31
yehT_yehT_1,31
tatC,31
rsmD_rsmD_2,31
rpsS,31
rplM,31
nuoH,31
hslV,31
glpK_2,31
engB,31
artP,31
udk_udk_1,30
tatB,30
rsmE,30
rpsG,30
rpoA,30
rplN,30
rplD,30
murF_murF_1,30
mreD,30
manY,30
ispG_ispG_2,30
hemD,30
group_3589,30
fucU,30
ypeA_ypeA_1,29
ygdR_1,29
yfcE,29
uspD_uspD_1,29
suhB,29
rpsB,29
recX,29
mug,29
iscA_2,29
group_4683,29
group_3713,29
group_154,29
glcC,29
dgkA,29
adk,29
yciK,28
tsaE,28
sfsA,28
rpsM,28
rpsK,28
rpmE,28
rplC,28
ribF,28
ribC,28
pncC_1,28
minE,28
group_8038,28
group_1536,28
yhcB,27
trxA_1,27
sucD,27
rpsQ,27
rpsJ,27
rpsI,27
rpmC,27
rplF,27
pyrI,27
nuoB,27
nadK_nadK_2,27
hfq,27
group_6151,27
gntK,27
fdhD,27
fadR,27
cysJ_2,27
can,27
ampD,27
yccF,26
ubiX,26
tusE,26
tatA,26
rsmA,26
rplJ,26
pdhR_2,26
nudE,26
mdaB,26
ilvE,26
group_876,26
group_4979,26
group_3752,26
galS,26
frr,26
exbB_1_exbB_2,26
baeR_baeR_2,26
alaA,26
yqjE,25
usg_usg_1,25
udp,25
truA,25
thiS,25
rplL,25
rplE,25
nusA,25
nfuA,25
manZ_1_manZ_2,25
manX_2,25
group_755,25
group_519,25
group_4003,25
gph,25
gcvH,25
folE_folE_2,25
fldA,25
erpA,25
dsbE,25
cetB,25
ygaV,24
ybjM,24
ybgC,24
ybfF,24
slyX,24
rpsR,24
rpsE,24
rpsD,24
rplW,24
rplO,24
lolB,24
leuD,24
hisM,24
group_4205,24
group_125,24
galE,24
dus,24
crr,24
ccmC,24
aroK,24
argR,24
acrZ,24
zapA,23
ybaN,23
ybaB,23
satP,23
rpsP,23
rpsN,23
nuoI_2_nuoI_1,23
moaE,23
ilvH,23
group_744,23
group_7173,23
group_4093,23
group_2620,23
group_1521,23
group_1369,23
trxA_2,22
sspB,22
rpsF,22
rplA,22
rpe_2,22
priB,22
iscU,22
iscR,22
iscA_1,22
ilvM,22
grpE_grpE_1_grpE_2,22
group_1997,22
gapA,22
corC_1,22
cidA,22
ccmD,22
arfA,22
apaG,22
uspA,21
trpC_trpC_1,21
Stx2k_40_2019-BUR-0118|1241nt,21
rpmD,21
rplX,21
queD,21
pyrF,21
purC,21
napC,21
mtnN,21
mog_mog_2_mog_1,21
kdsB,21
hflC,21
group_7810,21
group_4736,21
group_334,21
group_2400,21
feoC,21
uspB,20
uidA:CP146653.1:2405030-2406841,20
seqA,20
sdhE,20
rpmJ,20
rplR,20
rimP,20
ribA,20
nsrR,20
ndhC,20
moaC,20
menI,20
htpX,20
group_7046,20
group_3296,20
fur,20
folB,20
fabA,20
rpsT,19
rnt,19
osmB,19
napB,19
msrC,19
ihfB,19
ibpB,19
ibpA,19
group_799,19
group_338,19
group_145,19
exbD_2,19
dnaQ,19
apt,19
rnhA_rnhA_2_rnhA_1,18
plsY,18
ompA,18
nrdH,18
mntS,18
luxS,18
lolD_1,18
group_568,18
group_390,18
group_1178,18
flgM,18
dksA,18
clpS,18
yniC_2,17
ygaZ,17
ycdY,17
ybgI,17
slyB,17
rplK,17
moaB,17
lexA_4,17
group_7366,17
group_3909,17
group_1657,17
glnK,17
ftsL,17
cydX,17
bamE,17
yhdT,16
ygbE,16
rmf,16
nei,16
ispF,16
grxD,16
group_4140,16
ftsB,16
cysC,16
ybeY,15
rplT,15
mukE,15
msrB,15
infC,15
group_7117,15
group_678,15
bolA,15
slyA,14
rpsU,14
group_2461,14
group_1184,14
gloA,14
group_4687,13
group_2164,13
bssS,13
zapD,12
sdhC,12
rbfA,12
O/O159-6-wzy/1-1015,12
O/O159-4-wzx/1-1380,12
hinT,12
group_1592,12
cnu,12
Stx2a_30_MZ229605O8:H28|1241nt,11
rpmI,11
rpmF,11
pal,11
csrA,11
Stx2a_723_CP076274.1|1241nt,10
rpsO,10
coaE,10
sra,8
H/H19-5-fliC/1-1832,8
H/H19-1-fliC-origin/1-1833,7
stx2k_721_CP041422.1|1241nt,6
group_7622,6
Stx2k_50_12GZSW01|1241nt,5
H/H19-6-fliC/1-1832,5
group_7422,5
O/O159-1-wzx-origin/1-1380,3
H/H19-11-fliC/1-1842,3
O/O159-3-wzx/1-1380,2
H/H19-2-fliC-origin/1-1842,2
Stx2i_53_FN252457|1242nt,1
Stx2d_27_DQ059012|1241nt,1
O/O159-7-wzy/1-1015,1
O/O159-5-wzx/1-1380,1
O/O159-2-wzy-origin/1-1014,1
H/H19-4-fliC/1-1832,1
#rname,numreads
