gene_name,number_of_reads_mapped
pta,23
dnaB,23
cpxR,22
ompA,21
hemN_2_hemN_3,20
gcvH,20
ilvH,19
cetB,19
rpsF,18
rplF,18
recX,18
mog_mog_2_mog_1,18
menA,18
lexA_4,18
group_3581,18
gntK,18
glpK_2,18
rpsR,17
rplJ,17
rplD,17
rplC,17
purC,17
priB,17
galS,17
aroK,17
yqjE,16
ybgI,16
rplW,16
hflC,16
yfcE,15
uidA:CP146653.1:2405030-2406841,15
rsmA,15
rpsM,15
rpsK,15
rpsD,15
rpmE,15
rplA,15
nfuA,15
nei,15
nagA_1,15
mtnN,15
mreD,15
luxS,15
ispF,15
ilvE,15
gph,15
exbB_1_exbB_2,15
cysC,15
alaA,15
yhcB,14
yehT_yehT_1,14
yccF,14
satP,14
rpsJ,14
rpoA,14
nuoH,14
iclR,14
ibpB,14
group_7046,14
group_519,14
group_4080,14
group_1656,14
group_1536,14
folE_folE_2,14
cpxA_cpxA_1,14
bamD_bamD_1,14
arfA,14
yjcH,13
uspA,13
thiS,13
suhB,13
sfsA,13
rpsS,13
rpsI,13
rplR,13
rplL,13
rpe_2,13
nsrR,13
mdh_2,13
ilvM,13
group_8044,13
group_800,13
group_6151,13
group_4979,13
group_338,13
group_1743,13
glcC,13
erpA,13
dsbE,13
diaA,13
cfa,13
can,13
bolA,13
yjaB_2,12
ygbE,12
tusB,12
trpC_trpC_1,12
slyX,12
slyA,12
sdhC,12
rpsE,12
rbfA,12
pncC_1,12
pdhR_2,12
ibpA,12
hinT,12
group_755,12
group_7173,12
group_3589,12
group_1657,12
group_1239,12
dtd,12
dnaQ,12
cysJ_2,12
argR,12
apaG,12
ypeA_ypeA_1,11
ygjH,11
ybjM,11
ybeY,11
uspD_uspD_1,11
ubiX,11
trxA_1,11
rpsC,11
rplM,11
nusA,11
nagB_1,11
nadK_nadK_2,11
hisM,11
grpE_grpE_1_grpE_2,11
group_678,11
group_4003,11
group_154,11
glnK,11
galE,11
ftsB,11
dsrF,11
dksA,11
csrA,11
coaE,11
cidA,11
artP,11
yhdT,10
ygaV,10
tatD_tatD_2,10
tatC,10
tatB,10
sspB,10
rsmE,10
rsmD_rsmD_2,10
rpsP,10
rpsL,10
rpsG,10
rpsB,10
rplV,10
rplO,10
rplK,10
rnt,10
rnhA_rnhA_2_rnhA_1,10
rimP,10
ribC,10
ribA,10
pldB_pldB_2,10
moaE,10
moaC,10
manX_2,10
leuD,10
iscR,10
htpX,10
hslV,10
hemD,10
group_876,10
group_8049,10
group_799,10
group_7810,10
group_4736,10
group_3296,10
group_2400,10
group_1369,10
fadR,10
engB,10
dxr,10
dgkA,10
corC_1,10
clpS,10
ampD,10
adk,10
yniC_2,9
ygaZ,9
yciK,9
tusD,9
tatA,9
sucD,9
Stx2e_36_AJ313016|1236nt,9
seqA,9
rpmF,9
rplE,9
queD,9
pyrI,9
nuoI_2_nuoI_1,9
nudE,9
nrdH,9
mdaB,9
ispG_ispG_2,9
iscA_1,9
hfq,9
group_8038,9
group_78,9
group_747,9
group_4683,9
group_4140,9
group_3752,9
group_1997,9
gloA,9
exbD_2,9
bamE,9
ycdY,8
uspB,8
tusE,8
slyB,8
rpsO,8
rpmD,8
rfaH,8
plsY,8
pal,8
ompX_1,8
napB,8
murF_murF_1,8
mukE,8
mug,8
msrC,8
moaB,8
minE,8
manZ_1_manZ_2,8
group_568,8
group_2461,8
group_2164,8
group_1178,8
frr,8
fdhD,8
dus,8
cnu,8
zapD,7
zapA,7
ybfF,7
usg_usg_1,7
rpsN,7
rpmJ,7
rplN,7
menI,7
manY,7
kdsB,7
group_7422,7
group_1521,7
group_145,7
glpR_4_glpR_5_glpR_1,7
gapA,7
fucU,7
folB,7
feoC,7
dps,7
ccmC,7
apt,7
acrZ,7
ygdR_1,6
ybgC,6
ybaN,6
ybaB,6
udp,6
udk_udk_1,6
trxA_2,6
truA,6
Stx2e_91_1706T56070:138:unpublished:138|1236nt,6
sra,6
rpsU,6
rpsT,6
rpmI,6
rpmC,6
rplT,6
ribF,6
ndhC,6
msrB,6
mntS,6
iscU,6
infC,6
H/H10-17-fliC/1-1263,6
group_4205,6
group_2865,6
group_2620,6
group_1592,6
bssS,6
tsaE,5
sdhE,5
rpsQ,5
rplX,5
rplP,5
nuoB,5
napC,5
ihfB,5
group_744,5
group_4687,5
group_4093,5
group_3713,5
group_334,5
flgM,5
fldA,5
fabA,5
cydX,5
ccmD,5
baeR_baeR_2,5
pyrF,4
lolD_1,4
lolB,4
group_7622,4
group_1184,4
fur,4
ftsL,4
crr,4
Stx2e_36_AM939642|1236nt,3
rmf,3
iscA_2,3
group_7366,3
group_7117,3
group_125,3
Stx2l_21_GCF_015159895.1|1241nt,2
Stx2e_52_FM998838|1235nt,2
osmB,2
grxD,2
group_3909,2
group_390,2
Stx2e_136_GCA_021535005.1|1236nt,1
#rname,numreads
