gene_name,number_of_reads_mapped
nusA,24
nadK_nadK_2,23
grpE_grpE_1_grpE_2,22
glcC,22
glpK_2,20
ilvE,19
group_4080,19
mdh_2,18
hemN_2_hemN_3,18
group_8049,18
group_154,18
engB,18
diaA,18
group_8044,17
gntK,17
can,17
pyrI,16
ilvH,16
erpA,16
dus,16
dps,16
cidA,16
alaA,16
yjaB_2,15
udk_udk_1,15
truA,15
suhB,15
rsmE,15
nagA_1,15
murF_murF_1,15
hflC,15
hemD,15
group_747,15
dnaQ,15
dnaB,15
dksA,15
bamD_bamD_1,15
ygaZ,14
ybgI,14
usg_usg_1,14
slyB,14
rnhA_rnhA_2_rnhA_1,14
group_7173,14
bamE,14
yqjE,13
yccF,13
rpoA,13
rpe_2,13
rbfA,13
plaP,13
nsrR,13
nagB_1,13
menI,13
manX_2,13
luxS,13
ispG_ispG_2,13
hinT,13
group_7810,13
group_6151,13
gph,13
exbB_1_exbB_2,13
dsrF,13
clpS,13
apt,13
yniC_2,12
udp,12
trxA_1,12
sspB,12
rpsO,12
rpsF,12
rpsD,12
rpsC,12
rplA,12
rimP,12
rfaH,12
pta,12
pldB_pldB_2,12
nfuA,12
lolB,12
iscA_2,12
ilvM,12
hslV,12
group_4736,12
group_4093,12
group_3581,12
dxr,12
dgkA,12
cpxR,12
cpxA_cpxA_1,12
yfcE,11
ybfF,11
uspD_uspD_1,11
tusB,11
tsaE,11
slyX,11
slyA,11
rpsI,11
rpsE,11
rplT,11
rplD,11
ribF,11
nuoH,11
nuoB,11
nudE,11
moaE,11
mntS,11
menA,11
lexA_4,11
ispF,11
group_338,11
group_334,11
group_1536,11
group_1521,11
group_1239,11
exbD_2,11
dsbE,11
aroK,11
acrZ,11
yhdT,10
ygdR_1,10
thiS,10
tatD_tatD_2,10
Stx2i_43_OLC3602|1242nt,10
sfsA,10
rsmA,10
rpsU,10
rpsQ,10
rpsL,10
rpsK,10
rpsG,10
rpsB,10
rplX,10
rplP,10
rplO,10
rplE,10
rmf,10
pal,10
mtnN,10
msrB,10
mreD,10
minE,10
manY,10
hfq,10
grxD,10
group_799,10
group_4979,10
group_4205,10
group_2865,10
group_1657,10
galS,10
frr,10
folE_folE_2,10
fabA,10
csrA,10
argR,10
ypeA_ypeA_1,9
ygjH,9
ygbE,9
ybjM,9
ybgC,9
ybaN,9
uidA:CP146653.1:2405030-2406841,9
tusE,9
tusD,9
trxA_2,9
trpC_trpC_1,9
satP,9
rpsS,9
rpsR,9
rpsP,9
rpsM,9
rpmF,9
rpmD,9
rplV,9
rplK,9
rplJ,9
rplF,9
rplC,9
queD,9
purC,9
priB,9
nrdH,9
msrC,9
mog_mog_2_mog_1,9
moaC,9
kdsB,9
infC,9
iclR,9
group_8038,9
group_78,9
group_7046,9
group_4683,9
group_4140,9
group_4003,9
group_3752,9
group_3713,9
group_1997,9
group_1656,9
group_1184,9
group_1178,9
galE,9
ftsB,9
fldA,9
fdhD,9
cfa,9
baeR_baeR_2,9
arfA,9
zapD,8
ycdY,8
sucD,8
sdhC,8
rpsN,8
rpmC,8
rplW,8
rplR,8
rplN,8
ribC,8
pdhR_2,8
ompX_1,8
ompA,8
nei,8
ndhC,8
napC,8
leuD,8
iscU,8
iscR,8
ibpB,8
ibpA,8
group_2620,8
group_2400,8
group_1743,8
group_145,8
glpR_4_glpR_5_glpR_1,8
gcvH,8
gapA,8
flgM,8
feoC,8
cysJ_2,8
bssS,8
artP,8
zapA,7
yhcB,7
yciK,7
tatC,7
Stx2i_53_FN252457|1242nt,7
seqA,7
rsmD_rsmD_2,7
rpsJ,7
rpmE,7
pncC_1,7
osmB,7
mug,7
moaB,7
manZ_1_manZ_2,7
iscA_1,7
htpX,7
hisM,7
group_744,7
group_7366,7
group_2461,7
fur,7
ftsL,7
folB,7
cysC,7
coaE,7
bolA,7
apaG,7
yjcH,6
yehT_yehT_1,6
uspB,6
rpmI,6
rplM,6
rnt,6
ribA,6
pyrF,6
plsY,6
O/O8-32-wzt/1-1215,6
nuoI_2_nuoI_1,6
napB,6
group_876,6
group_800,6
group_678,6
group_519,6
group_1592,6
fucU,6
fadR,6
ccmC,6
ampD,6
adk,6
ybaB,5
uspA,5
tatB,5
rpmJ,5
recX,5
mdaB,5
group_755,5
group_4687,5
group_3909,5
group_3589,5
group_3296,5
group_2164,5
group_1369,5
group_125,5
glnK,5
ygaV,4
ybeY,4
tatA,4
