gene_name,number_of_reads_mapped
rplN,14
iclR,14
rpsR,13
priB,13
rpsQ,11
rpmC,11
rplX,11
rplE,11
pldB_pldB_2,11
group_755,11
group_7046,11
bamD_bamD_1,11
rpsF,10
rplP,10
iscR,10
group_8038,10
dksA,10
aroK,10
rpsD,9
rpmF,9
rplC,9
rnt,9
mdaB,9
grxD,9
group_4003,9
ampD,9
alaA,9
ubiX,8
thiS,8
sucD,8
rsmA,8
rpsN,8
rpoA,8
rplW,8
rplV,8
rplO,8
rplD,8
pta,8
plsY,8
ompX_1,8
nuoB,8
mdh_2,8
ilvE,8
group_8044,8
group_78,8
group_3581,8
fadR,8
cpxA_cpxA_1,8
can,8
apaG,8
zapA,7
yhcB,7
yciK,7
ybjM,7
tusE,7
sfsA,7
seqA,7
rpsS,7
rpsM,7
rpsK,7
rpsJ,7
rpsC,7
rpmD,7
rimP,7
pyrI,7
nusA,7
nrdH,7
murF_murF_1,7
ilvM,7
ilvH,7
group_4683,7
group_4080,7
group_1656,7
gloA,7
glnK,7
dxr,7
adk,7
uspB,6
uidA:CP146653.1:2405030-2406841,6
udp,6
udk_udk_1,6
tatC,6
slyB,6
rpsU,6
rpsE,6
rplR,6
rplM,6
rplF,6
rpe_2,6
ndhC,6
manX_2,6
luxS,6
ibpA,6
hinT,6
grpE_grpE_1_grpE_2,6
group_6151,6
group_3909,6
group_3713,6
group_1369,6
folB,6
dnaB,6
diaA,6
crr,6
cpxR,6
coaE,6
argR,6
zapD,5
yjcH,5
yjaB_2,5
ygdR_1,5
ygbE,5
ygaZ,5
yfcE,5
yehT_yehT_1,5
ybfF,5
ybaN,5
uspA,5
tusD,5
tsaE,5
tatB,5
tatA,5
rsmD_rsmD_2,5
rpsI,5
rpsB,5
rpmJ,5
rplT,5
rplK,5
rplA,5
rnhA_rnhA_2_rnhA_1,5
rfaH,5
purC,5
pncC_1,5
plaP,5
pdhR_2,5
mreD,5
mog_mog_2_mog_1,5
moaE,5
moaC,5
moaB,5
menI,5
menA,5
lolB,5
kdsB,5
hemD,5
group_800,5
group_568,5
group_4093,5
group_3589,5
group_2620,5
group_2400,5
group_1239,5
gph,5
glpR_4_glpR_5_glpR_1,5
gcvH,5
galS,5
fucU,5
frr,5
fldA,5
dsrF,5
dps,5
bolA,5
arfA,5
yqjE,4
ygjH,4
yccF,4
uspD_uspD_1,4
usg_usg_1,4
tusB,4
trxA_2,4
trxA_1,4
tatD_tatD_2,4
suhB,4
satP,4
rsmE,4
rpsT,4
rpsO,4
rpsL,4
rpsG,4
rpmI,4
rplL,4
ribF,4
ribA,4
recX,4
rbfA,4
queD,4
osmB,4
O/O128-3-wzx-origin/1-1443,4
nsrR,4
nfuA,4
napC,4
msrC,4
lolD_1,4
lexA_4,4
iscU,4
infC,4
ibpB,4
hisM,4
hflC,4
group_7810,4
group_7173,4
group_4979,4
group_4736,4
group_4687,4
group_338,4
group_3296,4
group_2461,4
group_1997,4
group_1184,4
group_1178,4
glcC,4
galE,4
ftsB,4
flgM,4
fdhD,4
exbB_1_exbB_2,4
dnaQ,4
cysC,4
corC_1,4
clpS,4
cetB,4
bssS,4
apt,4
acrZ,4
yniC_2,3
ybgI,3
ybeY,3
truA,3
trpC_trpC_1,3
sspB,3
sra,3
slyA,3
rplJ,3
pyrF,3
pal,3
nudE,3
napB,3
nagB_1,3
nagA_1,3
nadK_nadK_2,3
mtnN,3
msrB,3
mntS,3
manZ_1_manZ_2,3
leuD,3
ispG_ispG_2,3
ispF,3
iscA_2,3
iscA_1,3
htpX,3
H/H2-2-fliC-origin/1-1494,3
group_747,3
group_7366,3
group_7117,3
group_678,3
group_519,3
group_4140,3
group_390,3
group_334,3
group_2865,3
group_1743,3
group_154,3
group_1536,3
group_1521,3
group_145,3
glpK_2,3
gapA,3
fur,3
ftsL,3
folE_folE_2,3
fabA,3
erpA,3
engB,3
dtd,3
dsbE,3
csrA,3
ccmC,3
bamE,3
ypeA_ypeA_1,2
yhdT,2
ygaV,2
sdhC,2
rpmE,2
rmf,2
ribC,2
O/O128-8-wzx/1-1443,2
O/O128-5-wzy-origin/1-1044,2
nuoH,2
nei,2
mukE,2
mug,2
manY,2
ihfB,2
hslV,2
H/H2-12-fliC/1-1494,2
hfq,2
hemN_2_hemN_3,2
group_876,2
group_799,2
group_7622,2
group_744,2
group_2164,2
group_1657,2
group_1592,2
group_125,2
gntK,2
dus,2
cysJ_2,2
cnu,2
cidA,2
cfa,2
ycdY,1
ybaB,1
Stx2b_116_ABEATB010000152.1|1236nt,1
Stx2b_116_AAQWQP010000110.1|1236nt,1
Stx2b_113_2019-MIN-0073|1236nt,1
Stx2b_110_AATFTC010000164.1|1236nt,1
Stx2b_109_AARSUM010000040.1|1236nt,1
Stx2b_101_JAKYQU010000035.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_2_AB048235|1227nt,1
Stx1c_25_2020-CAL-0073|1228nt,1
Stx1c_12_Z36901|1228nt,1
Stx1c_12_DQ449666|1228nt,1
slyX,1
sdhE,1
rpsP,1
O/O164-2-wzx-origin/1-1614,1
O/O128-7-wzx/1-1443,1
O/O128-14-wzy/1-1044,1
nuoI_2_nuoI_1,1
minE,1
H/H2-5-fliC/1-1489,1
H/H2-17-fliC/1-1494,1
H/H2-15-fliC/1-1494,1
group_8049,1
group_4205,1
group_3752,1
feoC,1
exbD_2,1
ccmD,1
artP,1
#rname,numreads
