gene_name,number_of_reads_mapped
menA,105
dnaB,105
dxr,102
rpsB,100
pldB_pldB_2,99
cfa,98
pta,94
group_4080,94
uidA:CP146653.1:2405030-2406841,93
nusA,92
glpK_2,91
cysJ_2,89
hemN_2_hemN_3,88
nagA_1,87
hemD,86
tsaE,85
group_1239,85
galS,85
cpxA_cpxA_1,85
ribF,84
tatC,83
group_8044,83
glpR_4_glpR_5_glpR_1,82
murF_murF_1,81
mdh_2,81
rpsC,80
rplJ,80
rimP,80
udp,79
tatD_tatD_2,79
zapD,78
ubiX,78
rpoA,78
plaP,78
mreD,78
hflC,78
ccmC,78
yjaB_2,77
rplF,77
ribC,77
nagB_1,77
ibpA,77
glcC,77
galE,77
fur,77
tatB,76
suhB,76
sspB,76
rpsM,76
iclR,76
frr,76
cpxR,76
trxA_1,75
rplD,75
plsY,75
manZ_1_manZ_2,75
ilvE,75
thiS,74
group_7046,74
cetB,74
uspA,73
rpe_2,73
group_755,73
gntK,73
diaA,73
coaE,73
ybfF,72
satP,72
rpsG,72
rpsE,72
rplP,72
nudE,72
corC_1,72
aroK,72
yehT_yehT_1,71
truA,71
trpC_trpC_1,71
rpsL,71
mtnN,71
manX_2,71
leuD,71
ibpB,71
hfq,71
engB,71
yniC_2,70
yjcH,70
uspB,70
rpsK,70
rplN,70
rfaH,70
nuoH,70
lexA_4,70
htpX,70
hslV,70
group_747,70
group_3581,70
group_1369,70
gph,70
dksA,70
tusB,69
rpsT,69
rpsQ,69
rplE,69
manY,69
group_7366,69
gapA,69
fldA,69
fdhD,69
exbB_1_exbB_2,69
cysC,69
usg_usg_1,68
tatA,68
rpmC,68
rplC,68
rplA,68
nsrR,68
kdsB,68
iscR,68
fucU,68
folB,68
dus,68
bamD_bamD_1,68
ygbE,67
sfsA,67
rplX,67
pyrI,67
mdaB,67
ispG_ispG_2,67
fabA,67
argR,67
sucD,66
rplO,66
rplL,66
ompX_1,66
nadK_nadK_2,66
mug,66
iscU,66
grpE_grpE_1_grpE_2,66
group_1997,66
glnK,66
dnaQ,66
rpsP,65
hisM,65
yqjE,64
ygaV,64
rplR,64
nrdH,64
luxS,64
group_78,64
fadR,64
apt,64
seqA,63
rplM,63
ispF,63
group_7810,63
group_1656,63
erpA,63
arfA,63
pyrF,62
pncC_1,62
ompA,62
mog_mog_2_mog_1,62
group_876,62
group_2865,62
gcvH,62
dps,62
alaA,62
trxA_2,61
rpsN,61
rpsF,61
rplW,61
purC,61
nuoB,61
group_8038,61
group_678,61
group_568,61
group_4979,61
group_4736,61
group_3713,61
clpS,61
ygaZ,60
rsmD_rsmD_2,60
rpsD,60
rplV,60
recX,60
moaB,60
ilvH,60
group_744,60
group_6151,60
group_338,60
ftsB,60
dtd,60
dsrF,60
crr,60
artP,60
yhcB,59
uspD_uspD_1,59
sdhE,59
rplK,59
ypeA_ypeA_1,58
ygjH,58
yfcE,58
rpsJ,58
queD,58
lolB,58
iscA_1,58
group_4140,58
group_154,58
group_125,58
group_1184,58
apaG,58
yhdT,57
tusD,57
slyX,57
rpsI,57
rpmJ,57
rbfA,57
moaC,57
group_3752,57
group_334,57
group_1536,57
ycdY,56
ybaN,56
ybaB,56
rsmA,56
rpmD,56
nei,56
group_8049,56
group_519,56
group_4683,56
group_4003,56
group_145,56
dsbE,56
dgkA,56
can,56
adk,56
rsmE,55
rnhA_rnhA_2_rnhA_1,55
priB,55
nfuA,55
group_7173,55
group_3296,55
group_2461,55
folE_folE_2,55
yccF,54
ybgI,54
rpsO,54
napC,54
group_4687,54
cidA,54
bssS,54
bolA,54
baeR_baeR_2,54
ybgC,53
rpsS,53
rpmE,53
pdhR_2,53
nuoI_2_nuoI_1,53
msrB,53
group_2620,53
bamE,53
zapA,52
rpsU,52
napB,52
moaE,52
mntS,52
grxD,52
ybeY,51
tusE,51
menI,51
feoC,51
ccmD,51
rpsR,50
mukE,50
lolD_1,50
ilvM,50
csrA,50
cnu,50
ampD,50
yciK,49
rplT,49
rmf,49
osmB,49
msrC,49
group_2400,49
ftsL,49
ndhC,48
minE,48
group_799,48
acrZ,48
slyA,47
infC,47
flgM,47
exbD_2,47
ygdR_1,46
slyB,46
rpmF,46
group_3589,46
group_1521,46
rpmI,45
pal,45
iscA_2,45
ihfB,45
hinT,45
group_4205,45
group_1743,45
group_4093,44
group_1178,44
ybjM,43
H/H10-17-fliC/1-1263,43
group_3909,43
Stx2e_36_AJ313016|1236nt,42
sdhC,42
ribA,41
group_800,41
rnt,40
udk_udk_1,37
sra,36
gloA,36
group_390,35
group_2164,35
group_7117,34
group_1592,34
group_7422,31
cydX,29
group_7622,28
group_1657,27
O/O8-31-wzt/1-1215,18
Stx2e_91_1706T56070:138:unpublished:138|1236nt,13
O/O8-17-wzm/1-795,12
O/O8-15-wzm/1-795,7
O/O8-30-wzt/1-1215,6
O/O8-3-wzt-origin/1-1215,5
O/O8-28-wzt/1-1215,5
H/H10-18-fliC/1-1263,5
Stx2e_36_AM939642|1236nt,4
O/O8-36-wzt/1-1215,4
O/O8-24-wzt/1-1215,4
H/H10-2-fliC-origin/1-1263,4
Stx2e_146_GCA_009949705.1|1236nt,3
Stx2e_136_GCA_021535005.1|1236nt,3
O/O8-1-wzm-origin/1-795,3
O/O8-16-wzm/1-795,3
O/O8-14-wzm/1-795,3
O/O8-10-wzm/1-795,3
H/H10-21-fliC/1-1263,3
H/H10-20-fliC/1-1263,3
Stx2e_64_FN182286|1236nt,2
Stx2e_52_FM998838|1235nt,2
Stx2e_47_FM998846|1236nt,2
Stx2e_36_AJ567998|1236nt,2
O/O8-34-wzt/1-1215,2
O/O8-27-wzt/1-1215,2
O/O8-26-wzt/1-1215,2
O/O8-25-wzt/1-1215,2
O/O8-21-wzm/1-795,2
O/O8-13-wzm/1-795,2
H/H10-1-fliC-origin/1-1263,2
Stx2e_80_X81418|1236nt,1
Stx2e_63_X81416|1236nt,1
Stx2e_31_GCF_002534745.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
O/O8-9-wzm/1-795,1
O/O8-4-wzt-origin/1-1215,1
O/O8-32-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-22-wzm/1-795,1
O/O8-20-wzm/1-795,1
O/O8-19-wzm/1-795,1
O/O8-12-wzm/1-795,1
H/H7-14-fliC-origin/1-1758,1
H/H6-7-fliC/1-1647,1
H/H6-1-fliC-origin/1-1647,1
H/H45-1-fliC-origin/1-1707,1
H/H31-2-fliC-origin/1-1668,1
H/H10-26-fliC/1-1263,1
H/H10-25-fliC/1-1263,1
H/H10-23-fliC/1-1263,1
#rname,numreads
