gene_name,number_of_reads_mapped
grpE_grpE_1_grpE_2,29
nadK_nadK_2,28
nusA,27
glpK_2,26
hemN_2_hemN_3,25
dnaB,25
group_4080,24
ilvE,23
group_8049,23
glcC,23
engB,23
dus,23
diaA,23
luxS,22
hemD,22
dsrF,22
alaA,22
yjaB_2,21
rpoA,21
pldB_pldB_2,21
ilvH,21
gntK,21
dps,21
dksA,21
cidA,21
rpsL,20
nuoH,20
mdh_2,20
group_154,20
ygaZ,19
udp,19
tusB,19
rpsC,19
plaP,19
murF_murF_1,19
hflC,19
gph,19
dnaQ,19
udk_udk_1,18
truA,18
rpe_2,18
nagA_1,18
ispG_ispG_2,18
group_8044,18
group_747,18
group_7173,18
group_6151,18
dxr,18
dgkA,18
cpxA_cpxA_1,18
bamE,18
bamD_bamD_1,18
yccF,17
uspD_uspD_1,17
uidA:CP146653.1:2405030-2406841,17
tusD,17
suhB,17
slyB,17
rpsG,17
rpsD,17
rplP,17
rplA,17
rnhA_rnhA_2_rnhA_1,17
pyrI,17
menA,17
manX_2,17
kdsB,17
galS,17
exbB_1_exbB_2,17
erpA,17
can,17
yqjE,16
ybgI,16
usg_usg_1,16
rsmE,16
rpsF,16
rplJ,16
rbfA,16
ompA,16
nsrR,16
nfuA,16
nagB_1,16
msrB,16
minE,16
menI,16
lexA_4,16
iscA_2,16
ilvM,16
hslV,16
group_799,16
group_7810,16
group_1997,16
group_1239,16
fldA,16
aroK,16
yniC_2,15
ybfF,15
thiS,15
slyX,15
satP,15
rpsQ,15
rpmF,15
rplX,15
rplV,15
rplE,15
rmf,15
rimP,15
ispF,15
hinT,15
group_4979,15
group_338,15
group_1521,15
group_1184,15
glpR_4_glpR_5_glpR_1,15
folE_folE_2,15
fabA,15
cpxR,15
clpS,15
baeR_baeR_2,15
apt,15
acrZ,15
zapD,14
yfcE,14
tusE,14
tsaE,14
trxA_1,14
trpC_trpC_1,14
rpsS,14
rpsP,14
rpsO,14
rpsB,14
rpmC,14
ribF,14
rfaH,14
queD,14
pta,14
nuoI_2_nuoI_1,14
nudE,14
nrdH,14
mtnN,14
mog_mog_2_mog_1,14
mntS,14
manY,14
grxD,14
group_4736,14
group_4093,14
group_2865,14
group_2620,14
group_1536,14
gapA,14
flgM,14
exbD_2,14
artP,14
arfA,14
yhdT,13
ygbE,13
ybgC,13
Stx2i_43_OLC3602|1242nt,13
sspB,13
slyA,13
rpsU,13
rpsR,13
rpsK,13
rpsE,13
rplT,13
rplN,13
rplK,13
rplF,13
rplD,13
ribC,13
priB,13
nuoB,13
lolB,13
leuD,13
iscU,13
iclR,13
group_7046,13
group_4140,13
group_3713,13
group_3581,13
group_2461,13
group_1656,13
frr,13
feoC,13
dsbE,13
coaE,13
cfa,13
ygdR_1,12
rsmD_rsmD_2,12
rpsM,12
rpsI,12
rplR,12
purC,12
pdhR_2,12
pal,12
nei,12
mreD,12
moaE,12
infC,12
ibpB,12
group_4683,12
group_4205,12
group_3752,12
galE,12
cysC,12
csrA,12
ypeA_ypeA_1,11
yjcH,11
yehT_yehT_1,11
ybaN,11
tatD_tatD_2,11
sfsA,11
seqA,11
rsmA,11
rpsN,11
rplM,11
rplL,11
rplC,11
iscR,11
iscA_1,11
ibpA,11
hisM,11
hfq,11
group_8038,11
group_78,11
group_7366,11
group_519,11
group_4003,11
group_334,11
group_1743,11
group_1657,11
group_1178,11
fur,11
fucU,11
ftsB,11
fdhD,11
bolA,11
argR,11
zapA,10
yhcB,10
ygjH,10
ycdY,10
ybjM,10
uspB,10
trxA_2,10
rplW,10
rplO,10
rnt,10
osmB,10
ompX_1,10
ndhC,10
napC,10
mug,10
msrC,10
moaC,10
htpX,10
group_744,10
group_2400,10
group_145,10
ftsL,10
fadR,10
bssS,10
adk,10
ygaV,9
ybaB,9
uspA,9
tatC,9
sdhC,9
rpsJ,9
rpmI,9
rpmE,9
rpmD,9
pyrF,9
napB,9
mukE,9
manZ_1_manZ_2,9
group_800,9
group_1369,9
gcvH,9
folB,9
dtd,9
cysJ_2,9
crr,9
ccmC,9
sucD,8
ribA,8
recX,8
pncC_1,8
plsY,8
O/O8-32-wzt/1-1215,8
moaB,8
mdaB,8
lolD_1,8
ihfB,8
group_876,8
group_678,8
group_4687,8
group_3589,8
group_1592,8
group_125,8
gloA,8
apaG,8
yciK,7
ubiX,7
Stx2i_53_FN252457|1242nt,7
group_7117,7
group_3909,7
group_2164,7
ampD,7
ybeY,6
tatB,6
rpmJ,6
H/H19-5-fliC/1-1832,6
group_755,6
group_568,6
glnK,6
cydX,6
corC_1,6
cetB,6
rpsT,5
group_7422,5
group_3296,5
ccmD,5
tatA,4
O/O8-16-wzm/1-795,4
H/H19-4-fliC/1-1832,4
cnu,4
sra,3
sdhE,3
O/O8-35-wzt/1-1215,3
H/H19-6-fliC/1-1832,3
H/H19-2-fliC-origin/1-1842,3
group_390,3
Stx2g_39_AJ966783|1242nt,2
Stx2e_146_GCA_009949705.1|1236nt,2
O/O8-36-wzt/1-1215,2
H/H19-1-fliC-origin/1-1833,2
Stx2e_85_FM998844|1236nt,1
Stx2e_63_X81416|1236nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
O/O8-31-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
O/O8-27-wzt/1-1215,1
O/O8-25-wzt/1-1215,1
O/O8-21-wzm/1-795,1
O/O8-20-wzm/1-795,1
O/O8-19-wzm/1-795,1
O/O8-15-wzm/1-795,1
O/O8-12-wzm/1-795,1
O/O8-11-wzm/1-795,1
H/H28-8-fliC/1-1740,1
H/H19-11-fliC/1-1842,1
group_7622,1
#rname,numreads
