gene_name,number_of_reads_mapped
pta,33
dnaB,32
cpxR,32
hflC,31
hemN_2_hemN_3,30
glcC,30
alaA,30
group_338,28
galS,28
nfuA,27
ilvH,26
group_4080,26
group_3581,26
glpK_2,26
rplF,25
menA,25
lexA_4,25
group_1536,25
gcvH,25
yehT_yehT_1,24
ybgI,24
rsmA,24
rpsF,24
rplC,24
nei,24
ispF,24
hisM,24
group_1369,24
gntK,24
exbB_1_exbB_2,24
cetB,24
rpsD,23
rpoA,23
rplJ,23
recX,23
priB,23
ompA,23
mtnN,23
mog_mog_2_mog_1,23
ibpB,23
group_519,23
group_1743,23
engB,23
yqjE,22
rpsR,22
rpsM,22
rpsK,22
rpsE,22
rplA,22
nuoH,22
mdh_2,22
luxS,22
ilvE,22
gph,22
folE_folE_2,22
dnaQ,22
cysC,22
cpxA_cpxA_1,22
cfa,22
aroK,22
uspA,21
uidA:CP146653.1:2405030-2406841,21
suhB,21
rplD,21
rpe_2,21
purC,21
nsrR,21
ispG_ispG_2,21
iclR,21
ibpA,21
group_800,21
group_1656,21
fdhD,21
dtd,21
yhdT,20
trxA_1,20
tatD_tatD_2,20
slyX,20
slyA,20
sfsA,20
rpmE,20
rplR,20
rplE,20
rnt,20
nusA,20
mdaB,20
iscR,20
group_6151,20
group_4683,20
erpA,20
can,20
bamD_bamD_1,20
yjaB_2,19
uspB,19
tusD,19
trpC_trpC_1,19
tatC,19
satP,19
rplW,19
rplL,19
group_8044,19
group_678,19
group_3589,19
artP,19
apaG,19
yjcH,18
yhcB,18
ygjH,18
ygaZ,18
yfcE,18
rpsJ,18
rpsI,18
rplO,18
rnhA_rnhA_2_rnhA_1,18
ribF,18
nrdH,18
nagA_1,18
ilvM,18
group_8038,18
group_7046,18
group_4979,18
group_3296,18
group_154,18
gloA,18
coaE,18
clpS,18
argR,18
ygbE,17
ubiX,17
tatB,17
sucD,17
rsmE,17
rpsC,17
rbfA,17
pldB_pldB_2,17
nadK_nadK_2,17
mreD,17
leuD,17
hslV,17
hinT,17
group_7173,17
group_2400,17
group_1239,17
fadR,17
exbD_2,17
dxr,17
dus,17
dsrF,17
dksA,17
csrA,17
cidA,17
bolA,17
arfA,17
yccF,16
ybeY,16
tusB,16
slyB,16
sdhC,16
rpsP,16
rpsN,16
rpsB,16
rplN,16
rplM,16
rimP,16
ribA,16
plsY,16
pdhR_2,16
nudE,16
manX_2,16
iscA_1,16
hemD,16
grpE_grpE_1_grpE_2,16
group_1178,16
galE,16
feoC,16
dsbE,16
diaA,16
corC_1,16
ypeA_ypeA_1,15
ygdR_1,15
ygaV,15
ybjM,15
ybaB,15
udp,15
thiS,15
Stx2e_36_AJ313016|1236nt,15
rpsS,15
rpsL,15
rpsG,15
rpmJ,15
rpmD,15
rplV,15
pyrI,15
kdsB,15
iscU,15
group_8049,15
group_78,15
group_7810,15
group_755,15
group_747,15
group_4140,15
group_4003,15
glnK,15
ftsB,15
frr,15
bamE,15
zapD,14
ybgC,14
uspD_uspD_1,14
tatA,14
seqA,14
sdhE,14
rpsU,14
rpsO,14
rplX,14
rplK,14
ribC,14
rfaH,14
pncC_1,14
ompX_1,14
nagB_1,14
mug,14
hfq,14
group_4736,14
group_3713,14
glpR_4_glpR_5_glpR_1,14
fucU,14
dgkA,14
adk,14
yniC_2,13
yciK,13
trxA_2,13
sspB,13
rsmD_rsmD_2,13
rpsT,13
rpmF,13
queD,13
nuoI_2_nuoI_1,13
murF_murF_1,13
mukE,13
msrC,13
group_876,13
group_799,13
group_7422,13
group_3752,13
group_1997,13
folB,13
dps,13
cysJ_2,13
cnu,13
ccmC,13
apt,13
ycdY,12
udk_udk_1,12
rpsQ,12
rpmC,12
pal,12
napB,12
moaE,12
moaC,12
manZ_1_manZ_2,12
htpX,12
group_568,12
group_2164,12
group_1657,12
group_145,12
ftsL,12
ampD,12
tusE,11
nuoB,11
ndhC,11
moaB,11
mntS,11
group_4687,11
group_2461,11
fabA,11
cydX,11
zapA,10
ybfF,10
ybaN,10
tsaE,10
sra,10
rplP,10
msrB,10
manY,10
ihfB,10
group_334,10
group_2865,10
group_1521,10
group_1184,10
gapA,10
fur,10
acrZ,10
menI,9
H/H10-17-fliC/1-1263,9
grxD,9
group_4205,9
crr,9
ccmD,9
usg_usg_1,8
rplT,8
pyrF,8
osmB,8
napC,8
minE,8
lolB,8
infC,8
group_7117,8
group_2620,8
group_1592,8
fldA,8
bssS,8
baeR_baeR_2,8
truA,7
rpmI,7
lolD_1,7
group_4093,7
group_3909,7
group_125,7
Stx2e_91_1706T56070:138:unpublished:138|1236nt,6
rmf,6
group_7622,6
group_744,6
flgM,6
iscA_2,5
group_7366,5
group_390,5
Stx2l_21_GCF_015159895.1|1241nt,3
Stx2e_36_AM939642|1236nt,3
Stx2e_52_FM998838|1235nt,2
Stx2i_43_OLC3602|1242nt,1
Stx2e_64_FN182286|1236nt,1
Stx2e_36_AJ567998|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
H/H10-2-fliC-origin/1-1263,1
H/H10-20-fliC/1-1263,1
H/H10-19-fliC/1-1263,1
H/H10-18-fliC/1-1263,1
#rname,numreads
