gene_name,number_of_reads_mapped
dnaB,33
rpsB,32
hemN_2_hemN_3,28
pta,26
group_7366,26
nusA,25
htpX,25
fabA,25
uidA:CP146653.1:2405030-2406841,24
tsaE,24
cfa,24
glpK_2,23
udp,22
menA,22
suhB,21
group_4080,21
yjaB_2,20
tatC,20
rpoA,20
ribF,20
group_8038,20
group_519,20
galS,20
cysJ_2,20
uspA,19
usg_usg_1,19
tatB,19
rpsM,19
rplJ,19
iclR,19
hslV,19
group_7046,19
group_338,19
dxr,19
tatD_tatD_2,18
satP,18
rpsG,18
purC,18
pldB_pldB_2,18
mreD,18
ibpA,18
glpR_4_glpR_5_glpR_1,18
glnK,18
ccmC,18
alaA,18
zapD,17
yniC_2,17
yehT_yehT_1,17
truA,17
tatA,17
sfsA,17
rpsT,17
rimP,17
nagB_1,17
nadK_nadK_2,17
mtnN,17
mog_mog_2_mog_1,17
group_8044,17
group_1369,17
group_1239,17
gapA,17
folB,17
trxA_1,16
rsmA,16
rpsL,16
pncC_1,16
plsY,16
plaP,16
nei,16
grpE_grpE_1_grpE_2,16
group_4683,16
galE,16
engB,16
dksA,16
cysC,16
cpxA_cpxA_1,16
corC_1,16
cnu,16
bamD_bamD_1,16
yqjE,15
ygbE,15
rpsP,15
rpsK,15
rmf,15
rfaH,15
nfuA,15
nagA_1,15
manZ_1_manZ_2,15
kdsB,15
iscU,15
ibpB,15
hfq,15
hemD,15
gntK,15
glcC,15
fucU,15
frr,15
exbB_1_exbB_2,15
dtd,15
dps,15
clpS,15
cidA,15
ygaZ,14
ycdY,14
uspB,14
tusB,14
thiS,14
rpsU,14
rplL,14
rplE,14
rplA,14
recX,14
ompA,14
nudE,14
mukE,14
leuD,14
ispF,14
group_7810,14
group_747,14
group_568,14
group_2865,14
group_1536,14
fur,14
erpA,14
dsrF,14
dnaQ,14
cetB,14
ccmD,14
apaG,14
adk,14
zapA,13
ypeA_ypeA_1,13
yjcH,13
yccF,13
ybfF,13
uspD_uspD_1,13
trxA_2,13
sucD,13
slyX,13
rplR,13
rplN,13
rplM,13
rplK,13
rplF,13
rnhA_rnhA_2_rnhA_1,13
ribC,13
pyrF,13
ompX_1,13
murF_murF_1,13
mdaB,13
manY,13
iscA_1,13
grxD,13
group_678,13
group_1997,13
group_1521,13
group_125,13
group_1184,13
ftsL,13
ftsB,13
fldA,13
coaE,13
aroK,13
arfA,13
yhcB,12
ybgI,12
udk_udk_1,12
ubiX,12
tusD,12
sspB,12
rpsO,12
rpsI,12
rpmJ,12
rplX,12
rplO,12
queD,12
mug,12
msrC,12
mdh_2,12
ispG_ispG_2,12
iscR,12
group_876,12
group_800,12
group_755,12
group_6151,12
group_4140,12
group_2461,12
group_145,12
dus,12
dsbE,12
apt,12
ygaV,11
ybaN,11
trpC_trpC_1,11
seqA,11
rsmD_rsmD_2,11
rpsN,11
rpsF,11
rpsE,11
rpsC,11
pyrI,11
pal,11
nrdH,11
msrB,11
minE,11
manX_2,11
luxS,11
lexA_4,11
ilvH,11
hisM,11
group_4736,11
group_4003,11
group_334,11
group_2400,11
group_1743,11
group_154,11
csrA,11
cpxR,11
artP,11
yhdT,10
ygdR_1,10
yfcE,10
tusE,10
rsmE,10
rpsJ,10
rpsD,10
rpmE,10
rpe_2,10
pdhR_2,10
nuoH,10
nsrR,10
napB,10
moaE,10
moaC,10
moaB,10
menI,10
lolD_1,10
group_7173,10
group_4979,10
group_4205,10
group_3713,10
group_3581,10
group_3296,10
gph,10
gcvH,10
diaA,10
can,10
ygjH,9
yciK,9
ybaB,9
sdhC,9
rpsQ,9
rpmD,9
rplC,9
rbfA,9
napC,9
ilvE,9
ihfB,9
group_8049,9
group_78,9
group_744,9
group_4687,9
group_3909,9
group_2620,9
gloA,9
folE_folE_2,9
flgM,9
fadR,9
bolA,9
acrZ,9
ybgC,8
ybeY,8
slyB,8
slyA,8
sdhE,8
rpmC,8
rplD,8
nuoB,8
mntS,8
lolB,8
iscA_2,8
ilvM,8
H/H10-17-fliC/1-1263,8
group_3752,8
group_2164,8
group_1656,8
fdhD,8
bamE,8
baeR_baeR_2,8
ybjM,7
Stx2e_36_AJ313016|1236nt,7
rpsR,7
rpmF,7
rplV,7
rplT,7
rplP,7
priB,7
osmB,7
nuoI_2_nuoI_1,7
hflC,7
group_7117,7
group_4093,7
group_3589,7
feoC,7
exbD_2,7
dgkA,7
bssS,7
argR,7
ampD,7
rplW,6
rnt,6
ndhC,6
infC,6
hinT,6
group_799,6
group_7622,6
group_1657,6
group_1592,6
sra,5
rpmI,5
ribA,5
group_7422,4
group_390,4
crr,4
rpsS,3
cydX,3
Stx2e_91_1706T56070:138:unpublished:138|1236nt,2
O/O8-31-wzt/1-1215,2
O/O8-28-wzt/1-1215,2
O/O8-10-wzm/1-795,2
H/H10-21-fliC/1-1263,2
H/H10-18-fliC/1-1263,2
group_1178,2
Stx2e_64_FN182286|1236nt,1
Stx2e_52_FM998838|1235nt,1
Stx2e_47_FM998846|1236nt,1
Stx2e_36_AJ567998|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
O/O8-3-wzt-origin/1-1215,1
O/O8-34-wzt/1-1215,1
O/O8-30-wzt/1-1215,1
O/O8-25-wzt/1-1215,1
O/O8-21-wzm/1-795,1
O/O8-20-wzm/1-795,1
O/O8-17-wzm/1-795,1
O/O8-14-wzm/1-795,1
O/O8-12-wzm/1-795,1
H/H10-2-fliC-origin/1-1263,1
H/H10-20-fliC/1-1263,1
#rname,numreads
