gene_name,number_of_reads_mapped
dnaB,40
glpK_2,38
nusA,37
nadK_nadK_2,37
mdh_2,37
hemN_2_hemN_3,37
hemD,36
dus,36
grpE_grpE_1_grpE_2,35
group_4080,35
engB,34
dps,33
yjaB_2,32
group_154,32
glcC,32
nfuA,31
udp,30
truA,30
rpoA,30
rbfA,30
nagA_1,30
luxS,30
ilvH,30
gntK,30
can,30
alaA,30
rpe_2,29
ilvE,29
group_8049,29
gph,29
dgkA,29
uidA:CP146653.1:2405030-2406841,28
pldB_pldB_2,28
plaP,28
group_6151,28
dsrF,28
cpxA_cpxA_1,28
rpsC,27
kdsB,27
iclR,27
group_1997,27
exbD_2,27
dksA,27
diaA,27
argR,27
yfcE,26
uspD_uspD_1,26
usg_usg_1,26
rpsL,26
rpsD,26
rplA,26
pta,26
nuoH,26
murF_murF_1,26
mtnN,26
galS,26
exbB_1_exbB_2,26
erpA,26
dnaQ,26
cidA,26
ybgI,25
slyB,25
rsmE,25
rsmD_rsmD_2,25
rplP,25
lolB,25
ispF,25
group_747,25
group_3581,25
dxr,25
bamE,25
baeR_baeR_2,25
zapD,24
yhdT,24
udk_udk_1,24
tusB,24
slyX,24
rpsO,24
rplJ,24
rnhA_rnhA_2_rnhA_1,24
pyrI,24
ompA,24
ispG_ispG_2,24
hflC,24
artP,24
aroK,24
ygbE,23
ygaZ,23
tusD,23
suhB,23
rplT,23
ribF,23
nuoB,23
minE,23
menA,23
hslV,23
group_8044,23
group_7366,23
group_338,23
group_1521,23
group_1369,23
fabA,23
bamD_bamD_1,23
arfA,23
yhcB,22
yccF,22
ybgC,22
rpsQ,22
rpsP,22
rpsK,22
rpsI,22
rpsG,22
rpmC,22
rplV,22
rimP,22
queD,22
nsrR,22
nei,22
msrB,22
mog_mog_2_mog_1,22
moaE,22
group_7173,22
folE_folE_2,22
cysC,22
acrZ,22
trpC_trpC_1,21
satP,21
rpsM,21
rpmF,21
rplX,21
rplK,21
rplE,21
rplD,21
rmf,21
rfaH,21
nuoI_2_nuoI_1,21
nudE,21
manX_2,21
lexA_4,21
leuD,21
infC,21
group_7046,21
group_4979,21
group_4140,21
group_4003,21
group_1656,21
ftsB,21
feoC,21
cpxR,21
yqjE,20
yniC_2,20
tusE,20
Stx2i_43_OLC3602|1242nt,20
sspB,20
rpsF,20
rpsE,20
rpsB,20
rplM,20
rplF,20
pdhR_2,20
nagB_1,20
mreD,20
moaC,20
mntS,20
iscR,20
ilvM,20
group_876,20
group_799,20
group_7810,20
gapA,20
coaE,20
clpS,20
ygaV,19
yehT_yehT_1,19
tsaE,19
trxA_1,19
thiS,19
rpsS,19
rplR,19
rplO,19
rplN,19
purC,19
plsY,19
pal,19
ompX_1,19
menI,19
manY,19
iscA_2,19
ibpB,19
ibpA,19
group_1536,19
group_1184,19
glpR_4_glpR_5_glpR_1,19
frr,19
dsbE,19
adk,19
yjcH,18
ybfF,18
uspA,18
trxA_2,18
tatD_tatD_2,18
sfsA,18
moaB,18
group_744,18
group_4736,18
group_3752,18
group_3713,18
group_2865,18
group_1657,18
group_1239,18
folB,18
fldA,18
cfa,18
apt,18
ygdR_1,17
uspB,17
slyA,17
rpsN,17
rplW,17
rplL,17
rplC,17
recX,17
nrdH,17
napB,17
iscU,17
htpX,17
hinT,17
group_8038,17
group_78,17
group_519,17
group_4093,17
group_3589,17
galE,17
ftsL,17
flgM,17
fdhD,17
cetB,17
zapA,16
ypeA_ypeA_1,16
rsmA,16
ndhC,16
napC,16
mug,16
msrC,16
iscA_1,16
grxD,16
group_4683,16
group_4205,16
group_3909,16
group_334,16
group_2400,16
group_1743,16
group_1178,16
gcvH,16
fucU,16
cysJ_2,16
ccmC,16
bssS,16
bolA,16
ampD,16
ycdY,15
rpsU,15
rpsR,15
rpmJ,15
rpmD,15
ribC,15
priB,15
pncC_1,15
ihfB,15
group_2620,15
group_2461,15
dtd,15
ybjM,14
ybaB,14
sucD,14
rpmI,14
pyrF,14
O/O8-32-wzt/1-1215,14
mukE,14
manZ_1_manZ_2,14
hfq,14
group_755,14
group_4687,14
group_145,14
fur,14
csrA,14
corC_1,14
ybeY,13
ybaN,13
ubiX,13
tatC,13
seqA,13
sdhC,13
rnt,13
ribA,13
hisM,13
group_1592,13
apaG,13
ygjH,12
tatB,12
osmB,12
group_800,12
group_568,12
fadR,12
yciK,11
Stx2i_53_FN252457|1242nt,11
rpsJ,11
rpmE,11
lolD_1,11
group_3296,11
group_125,11
crr,11
cnu,11
sdhE,10
rpsT,10
mdaB,10
group_7117,10
gloA,10
cydX,10
ccmD,10
tatA,9
group_678,9
group_7422,8
group_2164,8
O/O8-16-wzm/1-795,7
H/H19-5-fliC/1-1832,7
glnK,7
sra,6
H/H19-4-fliC/1-1832,6
O/O8-35-wzt/1-1215,5
H/H19-6-fliC/1-1832,4
H/H19-2-fliC-origin/1-1842,4
group_390,4
Stx2g_39_AJ966783|1242nt,3
O/O8-21-wzm/1-795,3
O/O8-13-wzm/1-795,3
H/H19-1-fliC-origin/1-1833,3
Stx2e_146_GCA_009949705.1|1236nt,2
O/O8-36-wzt/1-1215,2
O/O8-19-wzm/1-795,2
group_7622,2
Stx2l_21_GCF_015159895.1|1241nt,1
Stx2e_85_FM998844|1236nt,1
Stx2e_63_X81416|1236nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
O/O8-31-wzt/1-1215,1
O/O8-30-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
O/O8-27-wzt/1-1215,1
O/O8-25-wzt/1-1215,1
O/O8-20-wzm/1-795,1
O/O8-15-wzm/1-795,1
O/O8-12-wzm/1-795,1
O/O8-11-wzm/1-795,1
H/H9-3-fliC/1-2013,1
H/H28-8-fliC/1-1740,1
H/H19-11-fliC/1-1842,1
H/H14-3-fliC/1-1653,1
#rname,numreads
