gene_name,number_of_reads_mapped
pta,44
dnaB,40
ehxA:11:EF204925/1-2997,38
nagA_1,35
pldB_pldB_2,32
ybfF,31
nusA,31
hemN_2_hemN_3,31
group_4080,31
engB,31
rsmE,30
rplL,30
rplJ,30
glpK_2,30
sfsA,29
ybgI,28
satP,28
rplA,28
uidA:CP146653.1:2405030-2406841,27
nadK_nadK_2,27
mug,27
lolB,27
kdsB,27
hslV,27
group_7046,27
nagB_1,26
menA,26
grpE_grpE_1_grpE_2,26
fur,26
zapA,25
trpC_trpC_1,25
rsmA,25
rpsB,25
luxS,25
cysJ_2,25
bamD_bamD_1,25
baeR_baeR_2,25
tusE,24
tatD_tatD_2,24
tatB,24
suhB,24
rplF,24
plaP,24
mdh_2,24
iclR,24
gapA,24
exbB_1_exbB_2,24
crr,24
cpxA_cpxA_1,24
corC_1,24
artP,24
yehT_yehT_1,23
yccF,23
udp,23
rpoA,23
rimP,23
ribF,23
rfaH,23
purC,23
nrdH,23
mog_mog_2_mog_1,23
iscR,23
ibpB,23
hemD,23
dksA,23
bamE,23
aroK,23
ampD,23
alaA,23
yjaB_2,22
uspB,22
trxA_2,22
tatC,22
queD,22
nuoH,22
mtnN,22
hisM,22
group_8038,22
group_78,22
group_1369,22
dxr,22
dus,22
dgkA,22
yfcE,21
sucD,21
rsmD_rsmD_2,21
recX,21
O/O164-2-wzx-origin/1-1614,21
murF_murF_1,21
moaB,21
ilvE,21
group_4003,21
group_3581,21
group_2620,21
fldA,21
exbD_2,21
erpA,21
can,21
ygbE,20
tatA,20
seqA,20
plsY,20
nuoI_2_nuoI_1,20
nfuA,20
nei,20
napC,20
manY,20
ispG_ispG_2,20
group_8044,20
group_2865,20
fdhD,20
dnaQ,20
sdhE,19
rpsM,19
rbfA,19
pncC_1,19
ompA,19
nuoB,19
moaC,19
manZ_1_manZ_2,19
group_8049,19
group_755,19
group_4736,19
group_3752,19
group_1239,19
gntK,19
glpR_4_glpR_5_glpR_1,19
galS,19
fabA,19
cysC,19
yjcH,18
ybeY,18
usg_usg_1,18
truA,18
rpsF,18
rplK,18
rplE,18
rpe_2,18
pdhR_2,18
lexA_4,18
hinT,18
group_7810,18
group_3589,18
group_2400,18
group_1743,18
cfa,18
apaG,18
ygaZ,17
ygaV,17
ubiX,17
rpsN,17
rpsK,17
rpsJ,17
rpsD,17
rplX,17
rplN,17
pyrI,17
pyrF,17
priB,17
msrB,17
mdaB,17
manX_2,17
ispF,17
infC,17
ilvM,17
ibpA,17
hfq,17
group_7366,17
group_1656,17
gph,17
fucU,17
clpS,17
adk,17
ypeA_ypeA_1,16
yhcB,16
ybgC,16
ybaB,16
rpsT,16
rpsE,16
rplC,16
pal,16
leuD,16
iscA_1,16
htpX,16
hflC,16
grxD,16
group_800,16
group_747,16
group_7173,16
group_4979,16
group_4140,16
group_3713,16
group_1997,16
group_145,16
fadR,16
diaA,16
coaE,16
arfA,16
zapD,15
yqjE,15
yniC_2,15
ycdY,15
ybaN,15
trxA_1,15
thiS,15
rpsQ,15
rpsL,15
rpmC,15
rplO,15
rplM,15
rplD,15
rnhA_rnhA_2_rnhA_1,15
nudE,15
nsrR,15
napB,15
mukE,15
iscA_2,15
ilvH,15
group_338,15
group_1592,15
group_125,15
ftsL,15
ftsB,15
folB,15
flgM,15
dsrF,15
cidA,15
yciK,14
uspD_uspD_1,14
sspB,14
rpsO,14
rpsI,14
rpsG,14
rpsC,14
rpmJ,14
rplR,14
rplP,14
