gene_name,number_of_reads_mapped
dnaB,65
pta,62
hemN_2_hemN_3,62
glpK_2,60
mdh_2,59
cpxA_cpxA_1,59
group_1656,58
dxr,58
menA,56
rplP,55
murF_murF_1,55
iclR,55
group_3581,55
uspD_uspD_1,54
rsmD_rsmD_2,54
cpxR,54
group_6151,52
ypeA_ypeA_1,51
rpsC,51
mug,51
group_4080,51
engB,51
rplM,50
pyrI,50
yjaB_2,49
pldB_pldB_2,49
group_8049,49
group_78,49
dtd,49
diaA,49
cfa,49
ygjH,48
tatD_tatD_2,48
rpsB,48
rpoA,48
rplV,48
recX,48
group_1239,48
frr,48
udk_udk_1,47
rpsI,47
rpsG,47
nfuA,47
hemD,47
gph,47
argR,47
yhcB,46
udp,46
rpsS,46
rpsL,46
rfaH,46
plaP,46
ispG_ispG_2,46
group_8044,46
group_2865,46
glpR_4_glpR_5_glpR_1,46
fdhD,46
cidA,46
pncC_1,45
nadK_nadK_2,45
group_876,45
group_8038,45
group_154,45
glcC,45
fucU,45
fadR,45
dgkA,45
yehT_yehT_1,44
yccF,44
rsmE,44
rplN,44
group_4979,44
group_3589,44
tusD,43
tusB,43
tsaE,43
tatB,43
nagB_1,43
nagA_1,43
mdaB,43
hfq,43
can,43
bamD_bamD_1,43
adk,43
tatC,42
rpsF,42
rpmC,42
rplL,42
rpe_2,42
nuoH,42
minE,42
manY,42
hslV,42
group_800,42
group_747,42
dsrF,42
dps,42
cetB,42
ybjM,41
rsmA,41
rpsR,41
rpsK,41
rplJ,41
priB,41
nusA,41
mreD,41
lolB,41
hflC,41
group_4683,41
galS,41
artP,41
ampD,41
yjcH,40
rpsQ,40
rplD,40
rplA,40
ribF,40
ribC,40
ompX_1,40
nuoB,40
manX_2,40
ilvE,40
group_744,40
group_1743,40
group_1521,40
group_1369,40
folE_folE_2,40
baeR_baeR_2,40
ubiX,39
trxA_1,39
sspB,39
rpsN,39
rpsM,39
rplF,39
pdhR_2,39
grpE_grpE_1_grpE_2,39
group_1536,39
gntK,39
fabA,39
dsbE,39
cysJ_2,39
alaA,39
ygaV,38
yfcE,38
thiS,38
sfsA,38
rpsD,38
rplE,38
mog_mog_2_mog_1,38
manZ_1_manZ_2,38
group_755,38
galE,38
erpA,38
zapA,37
yqjE,37
ygdR_1,37
yciK,37
ybaN,37
ybaB,37
uspB,37
trxA_2,37
tatA,37
suhB,37
sucD,37
satP,37
mtnN,37
lexA_4,37
group_7366,37
group_7173,37
group_2400,37
exbB_1_exbB_2,37
dus,37
ygaZ,36
uidA:CP146653.1:2405030-2406841,36
truA,36
rpsE,36
rpmE,36
hisM,36
group_4205,36
aroK,36
rplO,35
rplC,35
nuoI_2_nuoI_1,35
mukE,35
moaE,35
moaC,35
ispF,35
iscA_2,35
ibpB,35
htpX,35
group_4736,35
folB,35
dnaQ,35
apaG,35
ybgC,34
usg_usg_1,34
rpsJ,34
rplX,34
queD,34
ompA,34
nsrR,34
luxS,34
leuD,34
kdsB,34
ilvM,34
group_519,34
group_4003,34
group_125,34
feoC,34
ybfF,33
tusE,33
trpC_trpC_1,33
Stx2k_40_2019-BUR-0118|1241nt,33
slyX,33
rpsP,33
rplW,33
rplK,33
rimP,33
purC,33
plsY,33
nudE,33
ibpA,33
group_7810,33
group_7046,33
group_3713,33
gcvH,33
gapA,33
crr,33
corC_1,33
ccmC,33
ycdY,32
rmf,32
pyrF,32
mntS,32
ilvH,32
ihfB,32
group_338,32
group_2620,32
group_1997,32
group_1184,32
fldA,32
bamE,32
ygbE,31
sdhE,31
rnt,31
ribA,31
group_4093,31
group_3752,31
group_3296,31
cysC,31
ccmD,31
acrZ,31
uspA,30
rpsT,30
rplR,30
osmB,30
ndhC,30
iscU,30
iscR,30
group_568,30
group_1178,30
ftsB,30
clpS,30
arfA,30
slyB,29
rpmD,29
rnhA_rnhA_2_rnhA_1,29
nrdH,29
napC,29
msrC,29
moaB,29
lolD_1,29
group_799,29
group_4140,29
group_2461,29
exbD_2,29
bssS,29
apt,29
zapD,28
yhdT,28
rpmJ,28
iscA_1,28
group_3909,28
fur,28
ftsL,28
seqA,27
menI,27
hinT,27
grxD,27
group_678,27
group_390,27
group_334,27
glnK,27
dksA,27
bolA,27
ybgI,26
csrA,26
yniC_2,25
napB,25
gloA,25
coaE,25
ybeY,24
Stx2a_30_MZ229605O8:H28|1241nt,24
rbfA,24
nei,24
infC,24
group_4687,24
slyA,23
rpsU,23
rplT,23
msrB,23
group_145,22
flgM,22
cydX,22
sdhC,21
rpsO,21
group_7117,21
group_1592,21
cnu,21
rpmI,20
group_1657,20
rpmF,19
pal,19
O/O159-6-wzy/1-1015,19
O/O159-4-wzx/1-1380,17
group_2164,17
Stx2a_723_CP076274.1|1241nt,14
sra,14
group_7422,14
H/H19-5-fliC/1-1832,13
stx2k_721_CP041422.1|1241nt,10
group_7622,10
Stx2k_50_12GZSW01|1241nt,9
H/H19-1-fliC-origin/1-1833,8
H/H19-6-fliC/1-1832,7
O/O159-3-wzx/1-1380,4
O/O159-1-wzx-origin/1-1380,4
H/H19-11-fliC/1-1842,3
Stx2i_53_FN252457|1242nt,2
Stx2d_27_DQ059012|1241nt,2
O/O159-7-wzy/1-1015,2
H/H19-2-fliC-origin/1-1842,2
O/O159-5-wzx/1-1380,1
O/O159-2-wzy-origin/1-1014,1
H/H19-4-fliC/1-1832,1
#rname,numreads
