gene_name,number_of_reads_mapped
dnaB,81
pta,79
ehxA:11:EF204925/1-2997,78
nusA,67
glpK_2,66
ybfF,64
nagA_1,64
hemN_2_hemN_3,62
pldB_pldB_2,59
grpE_grpE_1_grpE_2,58
engB,58
uidA:CP146653.1:2405030-2406841,57
tatD_tatD_2,57
rsmA,57
nadK_nadK_2,57
group_4080,57
mug,56
nagB_1,55
group_7046,55
trpC_trpC_1,54
suhB,54
rplF,54
artP,54
rpe_2,53
plaP,53
hisM,53
fur,53
cpxA_cpxA_1,53
tatC,52
group_2620,52
rplJ,51
rfaH,51
hslV,51
exbB_1_exbB_2,51
dxr,51
ybgI,50
rsmD_rsmD_2,50
rplA,50
menA,50
iclR,50
dus,50
crr,50
tatB,49
rimP,49
mdh_2,49
fldA,49
apaG,49
zapD,48
ubiX,48
sucD,48
rpoA,48
rplL,48
nuoH,48
murF_murF_1,48
group_3581,48
group_1369,48
fabA,48
trxA_2,47
sfsA,47
rsmE,47
hemD,47
group_2865,47
galS,47
baeR_baeR_2,47
yccF,46
rpsM,46
ispG_ispG_2,46
iscR,46
ibpA,46
fdhD,46
cysJ_2,46
bamD_bamD_1,46
zapA,45
rpsE,45
nei,45
kdsB,45
ilvE,45
htpX,45
group_8044,45
dgkA,45
ycdY,44
uspB,44
satP,44
rplE,44
ibpB,44
group_4140,44
group_2400,44
rpsB,43
rplN,43
rbfA,43
purC,43
nfuA,43
lolB,43
cfa,43
yfcE,42
rplX,42
rplR,42
rplO,42
pyrF,42
manY,42
group_78,42
gapA,42
aroK,42
seqA,41
rpsK,41
rplM,41
ompA,41
nrdH,41
napC,41
mdaB,41
group_747,41
group_7366,41
group_1239,41
gph,41
tusE,40
sdhE,40
rpsQ,40
rpsI,40
luxS,40
group_8038,40
dksA,40
bamE,40
yehT_yehT_1,39
udp,39
manX_2,39
leuD,39
glpR_4_glpR_5_glpR_1,39
glcC,39
erpA,39
dnaQ,39
coaE,39
alaA,39
yhcB,38
tatA,38
rpsN,38
rpsC,38
rpmD,38
rplK,38
rplD,38
group_4979,38
group_4003,38
group_3713,38
group_2461,38
group_1656,38
gntK,38
exbD_2,38
dtd,38
cpxR,38
can,38
adk,38
ypeA_ypeA_1,37
yjaB_2,37
usg_usg_1,37
trxA_1,37
truA,37
rpsO,37
rpsD,37
rpmC,37
ribF,37
recX,37
priB,37
plsY,37
nuoB,37
mtnN,37
mog_mog_2_mog_1,37
manZ_1_manZ_2,37
group_755,37
group_4736,37
group_3589,37
yniC_2,36
sspB,36
rpsT,36
rpsJ,36
queD,36
pyrI,36
pdhR_2,36
O/O164-2-wzx-origin/1-1614,36
lolD_1,36
group_1997,36
corC_1,36
ygjH,35
ygaZ,35
ybjM,35
rplP,35
pncC_1,35
msrC,35
mreD,35
moaC,35
infC,35
hflC,35
gcvH,35
frr,35
argR,35
ygbE,34
tsaE,34
rpsF,34
rplC,34
nudE,34
moaB,34
group_876,34
group_338,34
bolA,34
ampD,34
yciK,33
ybeY,33
ybaB,33
rpsL,33
mukE,33
group_800,33
group_7810,33
group_6151,33
group_1743,33
group_1536,33
fucU,33
dsrF,33
cysC,33
ccmC,33
yqjE,32
yjcH,32
ybgC,32
ybaN,32
rpsS,32
moaE,32
ispF,32
ilvH,32
group_3752,32
group_125,32
group_1184,32
ftsB,32
fadR,32
diaA,32
cidA,32
ygaV,31
uspD_uspD_1,31
ompX_1,31
nuoI_2_nuoI_1,31
nsrR,31
minE,31
group_8049,31
group_744,31
clpS,31
cetB,31
arfA,31
yhdT,30
rpsG,30
rplT,30
napB,30
lexA_4,30
ilvM,30
group_7173,30
group_4687,30
folB,30
flgM,30
dsbE,30
udk_udk_1,29
slyX,29
rpsR,29
rplW,29
pal,29
osmB,29
ndhC,29
msrB,29
iscA_2,29
iscA_1,29
group_1592,29
galE,29
dps,29
uspA,28
tusB,28
rpmJ,28
rplV,28
rnhA_rnhA_2_rnhA_1,28
rmf,28
hinT,28
group_519,28
group_4683,28
group_145,28
thiS,27
sdhC,27
rpmI,27
hfq,27
ygdR_1,26
tusD,26
O/O75-11-wzy/1-1074,26
iscU,26
group_334,26
group_154,26
ftsL,26
folE_folE_2,26
feoC,26
group_3909,25
gloA,25
ccmD,25
bssS,25
apt,25
rpsP,24
rnt,24
ribC,24
ribA,24
group_568,24
csrA,24
rpsU,23
menI,23
grxD,23
group_678,23
group_4093,23
group_3296,23
group_390,22
rpmE,21
group_799,21
cnu,21
rpmF,20
ihfB,20
group_7422,20
glnK,20
H/H8-1-fliC-origin/1-1479,19
group_4205,19
group_1521,18
acrZ,18
Stx2b_109_GCA_011901285.1|1236nt,17
mntS,17
Stx2b_113_2019-MIN-0073|1236nt,16
slyA,16
group_2164,16
group_1657,16
Stx2b_109_GCA_017758065.1|1236nt,15
sra,15
slyB,15
group_7117,14
O/O75-4-wzx/1-1533,13
group_1178,13
cydX,13
H/H8-4-fliC/1-1479,10
Stx2b_109_ABGOCR010000002.1|1236nt,7
Stx1c_12_Z36901|1228nt,7
O/O75-7-wzx/1-1533,7
H/H8-3-fliC/1-1479,7
group_7622,7
O/O75-9-wzx/1-1533,5
O/O75-5-wzx/1-1533,5
H/H8-2-fliC-origin/1-1479,5
Stx2b_460_GCA_015392115.1|1236nt,4
Stx2b_308_GCA_012077395.1|1236nt,4
Stx1c_7_AB071624|1228nt,4
Stx1c_60_JAHVSC010000007.1|1228nt,4
Stx1c_22_2018-SEQ-1382|1228nt,4
Stx1c_12_DQ449666|1228nt,4
O/O75-6-wzx/1-1533,4
ehxA:12:EF204923/1-2997,4
Stx2b_209_GCA_022638015.1|1236nt,3
Stx2b_118_GCA_020730145.1|1236nt,3
Stx2b_109_ABELGX010000037.1|1236nt,3
Stx1c_418_LM996413.1|1227nt,3
Stx1c_2_AB048235|1227nt,3
Stx1c_26_ABNCNA010000007.1|1227nt,3
Stx1a_396_DAJLGU010000154.1|1227nt,3
O/O75-8-wzx/1-1533,3
Stx2b_186_JAHVOU010000040.1|1236nt,2
Stx2b_111_AASFSN010000227.1|1236nt,2
Stx1c_3_AB048237|1228nt,2
Stx1c_26_ABDEAZ010000088.1|1228nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1a_9_JACINY010000003.1|1227nt,2
Stx1a_9_ABKYFR010000209.1|1227nt,2
Stx1a_48_RRDS01000105.1|1227nt,2
Stx1a_206_AAQZCU010000431.1|1227nt,2
Stx1a_19_AARFFE010000089.1|1227nt,2
Stx1a_104_DABQTS010000012.1|1227nt,2
Stx1a_102_DABFQF010000044.1|1227nt,2
ehxA:9:AF043471/1-2997,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_46_AB048226|1242nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_247_GCA_022638215.1|1236nt,1
Stx2b_23_AJ567995|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_138_GCA_014948525.1|1236nt,1
Stx2b_110_JAEKHN010000165.1|1236nt,1
Stx2b_109_JAHVSF010000055.1|1236nt,1
Stx2b_109_DADYZK010000108.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx2b_101_AJ567997|1236nt,1
Stx1c_422_AARTGS010000025.1|1228nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_25_2020-CAL-0073|1228nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
Stx1a_9_AJ279086|1227nt,1
Stx1a_9_AAYKDR010000438.1|1227nt,1
Stx1a_9_AAUCMO010000167.1|1227nt,1
Stx1a_9_AATMAJ010000071.1|1227nt,1
Stx1a_9_AARSTY010000220.1|1227nt,1
Stx1a_9_AARCXN010000114.1|1227nt,1
Stx1a_452_AASGUX010000209.1|1226nt,1
Stx1a_366_ABKYTI010000080.1|1227nt,1
Stx1a_352_ABJOMZ010000017.1|1227nt,1
Stx1a_31_AARQIY010000260.1|1227nt,1
Stx1a_279_ABADSH010000285.1|1227nt,1
Stx1a_258_AAWQSV010000107.1|1227nt,1
Stx1a_231_DABTIZ010000166.1|1227nt,1
Stx1a_19_ABFWKK010000109.1|1227nt,1
Stx1a_19_ABDUZJ010000285.1|1227nt,1
Stx1a_19_AASSJZ010000076.1|1227nt,1
Stx1a_19_AAAAYL020000128.1|1227nt,1
Stx1a_199_AAAAKJ020000267.1|1227nt,1
Stx1a_193_ABDICZ010000267.1|1227nt,1
Stx1a_175_ABKNEZ010000095.1|1227nt,1
Stx1a_174_ABLQZD010000143.1|1227nt,1
Stx1a_173_ABNEXB010000095.1|1227nt,1
Stx1a_166_ABGBSO010000231.1|1227nt,1
Stx1a_15_ABABOM010000315.1|1227nt,1
Stx1a_147_ABHXMP010000378.1|1227nt,1
Stx1a_143_AASRIM010000276.1|1227nt,1
Stx1a_120_AAYWKK010000307.1|1227nt,1
H/H27-10-fliC/1-1461,1
H/H21-9-fliC/1-1476,1
H/H2-16-fliC/1-1494,1
H/H21-11-fliC/1-1476,1
H/H11-11-fliC/1-1459,1
#rname,numreads
