gene_name,number_of_reads_mapped
dnaB,79
pta,78
ehxA:11:EF204925/1-2997,74
nusA,66
glpK_2,64
ybfF,61
hemN_2_hemN_3,61
nagA_1,58
engB,58
pldB_pldB_2,57
nadK_nadK_2,57
grpE_grpE_1_grpE_2,57
tatD_tatD_2,56
mug,56
uidA:CP146653.1:2405030-2406841,55
rsmA,55
group_4080,55
trpC_trpC_1,54
group_7046,54
artP,54
rplF,53
plaP,53
rpe_2,52
tatC,51
exbB_1_exbB_2,51
cpxA_cpxA_1,51
suhB,50
nagB_1,50
iclR,50
hisM,50
fur,50
dxr,50
ybgI,49
rsmD_rsmD_2,49
rfaH,49
hslV,49
group_2620,49
dus,49
tatB,48
rplJ,48
rimP,48
fabA,48
crr,48
sucD,47
rplL,47
rplA,47
nuoH,47
murF_murF_1,47
menA,47
mdh_2,47
apaG,47
zapD,46
ubiX,46
trxA_2,46
sfsA,46
rsmE,46
rpsM,46
group_1369,46
fldA,46
fdhD,46
baeR_baeR_2,46
yccF,45
rpoA,45
group_8044,45
group_3581,45
group_2865,45
galS,45
dgkA,45
satP,44
rpsE,44
rplE,44
iscR,44
ilvE,44
ibpA,44
hemD,44
cysJ_2,44
zapA,43
ycdY,43
nei,43
kdsB,43
ispG_ispG_2,43
group_4140,43
cfa,43
bamD_bamD_1,43
yfcE,42
uspB,42
rpsB,42
rplR,42
rplO,42
rplN,42
nfuA,42
manY,42
lolB,42
htpX,42
gapA,42
aroK,42
rpsK,41
rplX,41
rbfA,41
purC,41
ompA,41
ibpB,41
group_78,41
group_2400,41
tusE,40
seqA,40
nrdH,40
luxS,40
group_7366,40
gph,40
dksA,40
bamE,40
udp,39
pyrF,39
napC,39
manX_2,39
leuD,39
yhcB,38
tatA,38
rpsQ,38
rpsI,38
rpmD,38
rplM,38
mdaB,38
group_8038,38
group_747,38
group_4003,38
group_1239,38
glpR_4_glpR_5_glpR_1,38
dnaQ,38
can,38
yjaB_2,37
yehT_yehT_1,37
sdhE,37
rpsN,37
rpsD,37
mtnN,37
mog_mog_2_mog_1,37
manZ_1_manZ_2,37
group_4979,37
group_4736,37
group_3713,37
group_3589,37
group_1656,37
gntK,37
glcC,37
exbD_2,37
erpA,37
coaE,37
alaA,37
adk,37
usg_usg_1,36
truA,36
rpsC,36
rplK,36
ribF,36
queD,36
pyrI,36
plsY,36
pdhR_2,36
O/O164-2-wzx-origin/1-1614,36
nuoB,36
group_2461,36
dtd,36
corC_1,36
ygaZ,35
trxA_1,35
sspB,35
rpsO,35
rpmC,35
rplD,35
recX,35
priB,35
mreD,35
hflC,35
gcvH,35
frr,35
cpxR,35
ypeA_ypeA_1,34
yniC_2,34
ygbE,34
rpsF,34
rplP,34
pncC_1,34
moaC,34
moaB,34
lolD_1,34
group_755,34
group_1997,34
bolA,34
argR,34
ybjM,33
tsaE,33
rpsT,33
rpsJ,33
nudE,33
msrC,33
group_876,33
group_7810,33
group_6151,33
group_1536,33
dsrF,33
cysC,33
ampD,33
yqjE,32
yjcH,32
ygjH,32
ybaN,32
ybaB,32
rpsL,32
rplC,32
mukE,32
moaE,32
infC,32
group_800,32
group_3752,32
group_338,32
group_1743,32
group_125,32
group_1184,32
fucU,32
ftsB,32
ccmC,32
ygaV,31
yciK,31
ybgC,31
ybeY,31
ompX_1,31
nuoI_2_nuoI_1,31
minE,31
ispF,31
ilvH,31
group_8049,31
fadR,31
clpS,31
cidA,31
cetB,31
yhdT,30
uspD_uspD_1,30
nsrR,30
group_7173,30
diaA,30
arfA,30
rpsS,29
rpsR,29
rpsG,29
rplT,29
ndhC,29
napB,29
msrB,29
lexA_4,29
iscA_2,29
iscA_1,29
ilvM,29
group_4687,29
group_1592,29
folB,29
flgM,29
dsbE,29
slyX,28
rpmJ,28
rplV,28
rmf,28
group_744,28
group_145,28
galE,28
dps,28
udk_udk_1,27
tusB,27
thiS,27
rplW,27
rnhA_rnhA_2_rnhA_1,27
pal,27
osmB,27
hinT,27
hfq,27
group_519,27
group_4683,27
uspA,26
tusD,26
sdhC,26
rpmI,26
iscU,26
ftsL,26
ygdR_1,25
O/O75-11-wzy/1-1074,25
group_334,25
folE_folE_2,25
feoC,25
rpsP,24
rnt,24
ribC,24
group_568,24
group_3909,24
group_154,24
gloA,24
csrA,24
ccmD,24
apt,24
rpsU,23
bssS,23
ribA,22
menI,22
grxD,22
group_678,22
group_4093,22
group_3296,22
rpmE,21
group_799,21
rpmF,20
ihfB,20
group_390,20
cnu,20
H/H8-1-fliC-origin/1-1479,19
group_4205,19
glnK,19
group_7422,18
group_1521,18
acrZ,18
Stx2b_109_GCA_011901285.1|1236nt,17
mntS,17
Stx2b_113_2019-MIN-0073|1236nt,16
slyA,16
group_1657,16
Stx2b_109_GCA_017758065.1|1236nt,15
sra,15
slyB,15
group_2164,15
O/O75-4-wzx/1-1533,13
group_7117,13
group_1178,13
cydX,13
H/H8-4-fliC/1-1479,10
Stx2b_109_ABGOCR010000002.1|1236nt,7
Stx1c_12_Z36901|1228nt,7
O/O75-7-wzx/1-1533,7
H/H8-3-fliC/1-1479,7
group_7622,7
O/O75-9-wzx/1-1533,5
O/O75-5-wzx/1-1533,5
H/H8-2-fliC-origin/1-1479,5
Stx2b_460_GCA_015392115.1|1236nt,4
Stx2b_308_GCA_012077395.1|1236nt,4
Stx1c_7_AB071624|1228nt,4
Stx1c_60_JAHVSC010000007.1|1228nt,4
Stx1c_22_2018-SEQ-1382|1228nt,4
Stx1c_12_DQ449666|1228nt,4
O/O75-6-wzx/1-1533,4
ehxA:12:EF204923/1-2997,4
Stx2b_209_GCA_022638015.1|1236nt,3
Stx2b_118_GCA_020730145.1|1236nt,3
Stx2b_109_ABELGX010000037.1|1236nt,3
Stx1c_418_LM996413.1|1227nt,3
Stx1c_2_AB048235|1227nt,3
Stx1c_26_ABNCNA010000007.1|1227nt,3
Stx1a_396_DAJLGU010000154.1|1227nt,3
O/O75-8-wzx/1-1533,3
Stx2b_186_JAHVOU010000040.1|1236nt,2
Stx2b_111_AASFSN010000227.1|1236nt,2
Stx1c_3_AB048237|1228nt,2
Stx1c_26_ABDEAZ010000088.1|1228nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1a_9_JACINY010000003.1|1227nt,2
Stx1a_9_ABKYFR010000209.1|1227nt,2
Stx1a_48_RRDS01000105.1|1227nt,2
Stx1a_206_AAQZCU010000431.1|1227nt,2
Stx1a_19_AARFFE010000089.1|1227nt,2
Stx1a_104_DABQTS010000012.1|1227nt,2
Stx1a_102_DABFQF010000044.1|1227nt,2
ehxA:9:AF043471/1-2997,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_46_AB048226|1242nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_247_GCA_022638215.1|1236nt,1
Stx2b_23_AJ567995|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_138_GCA_014948525.1|1236nt,1
Stx2b_110_JAEKHN010000165.1|1236nt,1
Stx2b_109_JAHVSF010000055.1|1236nt,1
Stx2b_109_DADYZK010000108.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx2b_101_AJ567997|1236nt,1
Stx1c_422_AARTGS010000025.1|1228nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_25_2020-CAL-0073|1228nt,1
