gene_name,number_of_reads_mapped
group_4080,82
cpxA_cpxA_1,81
pldB_pldB_2,74
rplC,72
pta,72
iclR,72
group_8044,71
cpxR,71
purC,69
udp,67
uidA:CP146653.1:2405030-2406841,66
nadK_nadK_2,66
group_1656,66
bamD_bamD_1,66
uspD_uspD_1,65
group_8038,65
group_4979,65
group_4683,65
rpsC,64
nusA,64
ibpB,64
hemN_2_hemN_3,63
rpoA,62
lexA_4,62
grpE_grpE_1_grpE_2,62
group_1369,62
suhB,61
rpsJ,61
rplP,61
rplD,61
ilvE,61
ibpA,61
ybgI,60
tusD,60
tatD_tatD_2,60
tatB,60
rplO,60
rplN,60
hflC,60
fdhD,60
dxr,60
aroK,60
trxA_2,59
rsmD_rsmD_2,59
rpsE,59
murF_murF_1,59
moaC,59
moaB,59
manX_2,59
can,59
alaA,59
zapD,58
yjaB_2,58
tsaE,58
rpsS,58
rpmC,58
rplV,58
nudE,58
menA,58
ycdY,57
rpsQ,57
rimP,57
mdh_2,57
hfq,57
gph,57
glpK_2,57
glcC,57
galS,57
dsrF,57
dnaQ,57
yjcH,56
tatC,56
rsmE,56
rplW,56
rfaH,56
moaE,56
hslV,56
group_6151,56
group_154,56
glnK,56
dus,56
uspB,55
ubiX,55
tatA,55
plsY,55
pdhR_2,55
dnaB,55
rplR,54
ompX_1,54
ilvM,54
group_8049,54
group_78,54
group_755,54
group_4140,54
group_1997,54
group_1239,54
folE_folE_2,54
engB,54
crr,54
ygaZ,53
uspA,53
rpsB,53
rplF,53
rpe_2,53
pncC_1,53
mreD,53
hisM,53
frr,53
exbB_1_exbB_2,53
yqjE,52
yciK,52
rpsL,52
rpsG,52
rplX,52
ribF,52
mtnN,52
minE,52
ispG_ispG_2,52
iscR,52
group_747,52
group_7046,52
group_2400,52
group_1521,52
gntK,52
fadR,52
cysC,52
artP,52
ybfF,51
trpC_trpC_1,51
rpsD,51
rpmE,51
rpmD,51
recX,51
pyrI,51
mdaB,51
ilvH,51
group_7173,51
folB,51
dgkA,51
cetB,51
ampD,51
yniC_2,50
yhcB,50
yehT_yehT_1,50
udk_udk_1,50
sucD,50
slyX,50
rpsN,50
rplE,50
queD,50
nagA_1,50
mug,50
htpX,50
group_800,50
group_145,50
galE,50
coaE,50
yhdT,49
rsmA,49
rpsI,49
plaP,49
nuoB,49
napC,49
hemD,49
group_334,49
fabA,49
bolA,49
zapA,48
tusB,48
rnhA_rnhA_2_rnhA_1,48
nsrR,48
luxS,48
ispF,48
group_3296,48
glpR_4_glpR_5_glpR_1,48
usg_usg_1,47
sspB,47
rplM,47
group_3909,47
group_1743,47
group_1536,47
cidA,47
cfa,47
ypeA_ypeA_1,46
seqA,46
rplA,46
ribA,46
ndhC,46
nagB_1,46
iscU,46
iscA_1,46
group_876,46
