gene_name,number_of_reads_mapped
ehxA:11:EF204925/1-2997,31
dnaB,30
pta,27
pldB_pldB_2,27
engB,25
rpsB,24
nadK_nadK_2,24
hemN_2_hemN_3,24
group_4080,24
sfsA,23
rsmE,23
rplJ,23
nusA,23
nagA_1,23
grpE_grpE_1_grpE_2,23
glpK_2,23
rplL,22
tusE,21
rplA,21
cpxA_cpxA_1,21
aroK,21
ybfF,20
plaP,20
luxS,20
iclR,20
hslV,20
group_7046,20
group_2865,20
dksA,20
bamD_bamD_1,20
ampD,20
yehT_yehT_1,19
uidA:CP146653.1:2405030-2406841,19
trpC_trpC_1,19
satP,19
purC,19
nuoH,19
nagB_1,19
lolB,19
hemD,19
bamE,19
zapA,18
yccF,18
trxA_2,18
suhB,18
rimP,18
nrdH,18
menA,18
iscR,18
ilvE,18
group_755,18
group_3581,18
crr,18
corC_1,18
baeR_baeR_2,18
artP,18
yjaB_2,17
ybgI,17
tatD_tatD_2,17
rsmA,17
ribF,17
nuoI_2_nuoI_1,17
moaB,17
fur,17
exbD_2,17
exbB_1_exbB_2,17
dnaQ,17
cysJ_2,17
clpS,17
ygbE,16
tatC,16
tatB,16
rplF,16
rfaH,16
recX,16
plsY,16
O/O164-2-wzx-origin/1-1614,16
nuoB,16
mug,16
mtnN,16
mdh_2,16
kdsB,16
ilvM,16
ibpB,16
hisM,16
group_78,16
group_3752,16
can,16
alaA,16
ygaZ,15
yfcE,15
ybgC,15
uspB,15
rplK,15
ompA,15
nei,15
murF_murF_1,15
moaC,15
ispG_ispG_2,15
group_8049,15
group_4979,15
group_1743,15
group_1369,15
gntK,15
fdhD,15
erpA,15
cfa,15
ybaB,14
usg_usg_1,14
rpsJ,14
rpoA,14
rpe_2,14
queD,14
pncC_1,14
nfuA,14
mukE,14
mreD,14
mog_mog_2_mog_1,14
mdaB,14
manZ_1_manZ_2,14
manY,14
infC,14
htpX,14
group_8038,14
group_4003,14
group_3589,14
group_145,14
group_1239,14
glpR_4_glpR_5_glpR_1,14
gapA,14
fabA,14
dus,14
dsrF,14
cysC,14
zapD,13
ypeA_ypeA_1,13
ybaN,13
udp,13
truA,13
tatA,13
sucD,13
sdhE,13
rsmD_rsmD_2,13
rpsT,13
rplC,13
rbfA,13
pyrF,13
pal,13
lexA_4,13
ispF,13
hinT,13
hfq,13
group_8044,13
group_7173,13
group_4736,13
group_2400,13
group_1536,13
ftsB,13
dgkA,13
apaG,13
adk,13
ygaV,12
ycdY,12
ybeY,12
uspD_uspD_1,12
rpsN,12
rpsL,12
rpsG,12
rpsE,12
rpmE,12
rplE,12
rplD,12
rnhA_rnhA_2_rnhA_1,12
priB,12
nsrR,12
ndhC,12
manX_2,12
lolD_1,12
hflC,12
group_7810,12
group_747,12
group_7366,12
group_4140,12
gph,12
galS,12
fucU,12
fldA,12
coaE,12
yqjE,11
yjcH,11
ygjH,11
tusB,11
thiS,11
sspB,11
rpsU,11
rpsQ,11
rpsP,11
rpsF,11
rplR,11
rplN,11
pyrI,11
pdhR_2,11
osmB,11
ompX_1,11
nudE,11
napC,11
msrB,11
leuD,11
iscU,11
iscA_1,11
group_800,11
group_744,11
group_519,11
group_338,11
group_2620,11
group_1997,11
group_1656,11
group_125,11
ftsL,11
folB,11
fadR,11
dxr,11
dps,11
diaA,11
csrA,11
arfA,11
yhcB,10
ybjM,10
ubiX,10
trxA_1,10
seqA,10
rpsO,10
rpsM,10
rpsD,10
rpsC,10
rpmI,10
rpmC,10
rplX,10
rplT,10
rplP,10
rplO,10
moaE,10
iscA_2,10
ibpA,10
group_799,10
group_6151,10
group_4205,10
group_390,10
group_3713,10
group_1592,10
group_154,10
galE,10
flgM,10
feoC,10
cpxR,10
argR,10
apt,10
yniC_2,9
tusD,9
Stx2b_109_GCA_011901285.1|1236nt,9
sdhC,9
rpsR,9
rpsI,9
rpmD,9
rplM,9
ribC,9
msrC,9
mntS,9
minE,9
menI,9
ilvH,9
grxD,9
group_4687,9
group_4683,9
frr,9
dsbE,9
ccmC,9
bssS,9
yciK,8
udk_udk_1,8
tsaE,8
Stx2b_109_GCA_017758065.1|1236nt,8
slyX,8
slyA,8
rpsK,8
napB,8
group_876,8
group_678,8
group_3909,8
group_3296,8
group_2461,8
group_1184,8
glcC,8
folE_folE_2,8
cidA,8
bolA,8
yhdT,7
ygdR_1,7
uspA,7
rpmJ,7
rnt,7
ihfB,7
group_4093,7
group_334,7
gloA,7
gcvH,7
Stx2b_113_2019-MIN-0073|1236nt,6
rpmF,6
rplW,6
rmf,6
group_2164,6
group_1657,6
glnK,6
dtd,6
cydX,6
cnu,6
ccmD,6
O/O75-11-wzy/1-1074,5
H/H8-1-fliC-origin/1-1479,5
group_7422,5
cetB,5
Stx1c_12_Z36901|1228nt,4
sra,4
slyB,4
O/O75-4-wzx/1-1533,4
group_7117,4
group_568,4
group_1521,4
ehxA:12:EF204923/1-2997,4
acrZ,4
rpsS,3
rplV,3
ribA,3
O/O75-7-wzx/1-1533,3
H/H8-4-fliC/1-1479,3
H/H8-3-fliC/1-1479,3
Stx2b_209_GCA_022638015.1|1236nt,2
Stx2b_111_AASFSN010000227.1|1236nt,2
Stx2b_109_ABGOCR010000002.1|1236nt,2
Stx1c_26_ABNCNA010000007.1|1227nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1a_104_DABQTS010000012.1|1227nt,2
O/O75-6-wzx/1-1533,2
H/H8-2-fliC-origin/1-1479,2
group_1178,2
ehxA:9:AF043471/1-2997,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_460_GCA_015392115.1|1236nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_247_GCA_022638215.1|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_186_JAHVOU010000040.1|1236nt,1
Stx2b_118_GCA_020730145.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_60_JAHVSC010000007.1|1228nt,1
Stx1c_418_LM996413.1|1227nt,1
Stx1c_3_AB048237|1228nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_22_2018-SEQ-1382|1228nt,1
Stx1c_12_DQ449666|1228nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
