gene_name,number_of_reads_mapped
dnaB,78
hemN_2_hemN_3,75
cpxA_cpxA_1,75
group_1656,73
glpK_2,72
dxr,72
pta,70
cpxR,70
uspD_uspD_1,68
yjaB_2,67
rsmD_rsmD_2,67
mug,67
mdh_2,67
iclR,67
murF_murF_1,66
menA,66
group_8049,66
group_3581,64
group_6151,63
engB,63
rplP,62
cfa,62
rpsC,61
fdhD,61
cidA,61
group_4080,60
pldB_pldB_2,59
frr,59
dtd,59
diaA,59
tatD_tatD_2,58
rpsB,58
rplV,58
nadK_nadK_2,58
hemD,58
glpR_4_glpR_5_glpR_1,58
rpsL,57
rpsG,57
nfuA,57
group_8038,57
group_78,57
gph,57
glcC,57
ypeA_ypeA_1,56
ygjH,56
tatC,56
rpsS,56
rpoA,56
rplM,56
argR,56
tusB,55
tatB,55
rfaH,55
pyrI,55
plaP,55
nusA,55
ispG_ispG_2,55
group_8044,55
group_3589,55
group_154,55
fucU,55
dsrF,55
tusD,54
tsaE,54
rpsI,54
rplL,54
rplJ,54
group_876,54
cysJ_2,54
udp,53
udk_udk_1,53
pncC_1,53
hslV,53
group_4979,53
group_2865,53
group_1369,53
galS,53
yhcB,52
yccF,52
rpsF,52
rplD,52
ribF,52
group_1239,52
folE_folE_2,52
artP,52
uidA:CP146653.1:2405030-2406841,51
rsmA,51
rpe_2,51
recX,51
minE,51
fadR,51
dgkA,51
bamD_bamD_1,51
rsmE,50
rpsR,50
rpsK,50
rplN,50
ribC,50
mog_mog_2_mog_1,50
mdaB,50
manY,50
ilvE,50
group_1521,50
cetB,50
adk,50
yehT_yehT_1,49
sucD,49
satP,49
priB,49
manX_2,49
hfq,49
hflC,49
group_800,49
group_1536,49
dus,49
ampD,49
pdhR_2,48
ompX_1,48
nagB_1,48
mreD,48
manZ_1_manZ_2,48
galE,48
dps,48
aroK,48
alaA,48
yjcH,47
rpmE,47
rpmC,47
rplA,47
nuoH,47
nuoB,47
moaE,47
moaC,47
lexA_4,47
ibpB,47
group_747,47
group_2400,47
gntK,47
can,47
baeR_baeR_2,47
yqjE,46
yfcE,46
ybjM,46
uspB,46
truA,46
sfsA,46
rpsQ,46
rpsM,46
rpsD,46
rimP,46
ompA,46
nagA_1,46
ilvM,46
ibpA,46
hisM,46
grpE_grpE_1_grpE_2,46
group_755,46
group_7173,46
group_1743,46
exbB_1_exbB_2,46
ygdR_1,45
ubiX,45
tatA,45
sspB,45
lolB,45
group_4683,45
thiS,44
rplW,44
rplC,44
nudE,44
mukE,44
group_744,44
gapA,44
dsbE,44
yciK,43
ybaN,43
ybaB,43
trxA_2,43
suhB,43
rpsN,43
rplE,43
ribA,43
pyrF,43
purC,43
mtnN,43
htpX,43
group_4205,43
group_1997,43
fabA,43
rplK,42
ispF,42
group_4736,42
group_125,42
dnaQ,42
crr,42
apaG,42
zapA,41
ygaZ,41
ygaV,41
ybgC,41
usg_usg_1,41
trxA_1,41
trpC_trpC_1,41
rplF,41
plsY,41
luxS,41
group_7366,41
group_3713,41
group_338,41
group_2620,41
folB,41
fldA,41
ybfF,40
sdhE,40
rpsT,40
rplX,40
queD,40
leuD,40
kdsB,40
group_7810,40
group_4140,40
group_1184,40
feoC,40
erpA,40
bssS,40
yhdT,39
slyX,39
slyB,39
rpsP,39
rpsJ,39
moaB,39
iscA_2,39
ilvH,39
ihfB,39
group_519,39
group_4093,39
group_4003,39
gcvH,39
bamE,39
acrZ,39
uspA,38
tusE,38
rplO,38
osmB,38
nuoI_2_nuoI_1,38
nsrR,38
msrC,38
group_568,38
group_3752,38
group_3296,38
cysC,38
corC_1,38
clpS,38
ygbE,37
Stx2k_40_2019-BUR-0118|1241nt,37
rpsE,37
ndhC,37
hinT,37
group_7046,37
ccmC,37
arfA,37
zapD,36
seqA,36
rmf,36
nrdH,36
mntS,36
group_2461,36
group_1592,36
ftsB,36
ycdY,35
rnt,35
rnhA_rnhA_2_rnhA_1,35
menI,35
infC,35
grxD,35
group_799,35
group_1178,35
apt,35
rpmJ,34
iscU,34
iscR,34
group_3909,34
group_390,34
fur,34
dksA,34
ccmD,34
ybgI,33
rplT,33
rbfA,33
napC,33
lolD_1,33
group_678,33
ftsL,33
exbD_2,33
coaE,33
slyA,32
rpmD,32
rplR,32
iscA_1,32
group_334,32
glnK,32
flgM,31
yniC_2,30
rpmI,30
nei,30
gloA,30
bolA,30
group_4687,29
Stx2a_30_MZ229605O8:H28|1241nt,28
napB,28
msrB,28
csrA,28
ybeY,27
rpsU,27
rpsO,27
group_145,27
sdhC,26
group_7117,26
cydX,26
cnu,26
rpmF,25
pal,25
group_1657,25
O/O159-6-wzy/1-1015,21
group_2164,20
O/O159-4-wzx/1-1380,19
sra,17
H/H19-5-fliC/1-1832,16
group_7422,16
Stx2a_723_CP076274.1|1241nt,15
group_7622,11
stx2k_721_CP041422.1|1241nt,10
Stx2k_50_12GZSW01|1241nt,10
H/H19-6-fliC/1-1832,9
H/H19-1-fliC-origin/1-1833,9
O/O159-3-wzx/1-1380,7
O/O159-1-wzx-origin/1-1380,4
H/H19-2-fliC-origin/1-1842,4
H/H19-11-fliC/1-1842,4
H/H19-4-fliC/1-1832,3
Stx2i_53_FN252457|1242nt,2
Stx2d_27_DQ059012|1241nt,2
O/O159-7-wzy/1-1015,2
O/O159-2-wzy-origin/1-1014,2
Stx2d_272_GCA_028519005.1|1241nt,1
Stx2d_12_SNS|1241nt,1
O/O159-5-wzx/1-1380,1
#rname,numreads
