gene_name,number_of_reads_mapped
glcC,15
nadK_nadK_2,12
nusA,11
glpK_2,11
ygaZ,10
ilvE,10
grpE_grpE_1_grpE_2,10
group_4736,10
group_4080,10
yqjE,9
udk_udk_1,9
hemN_2_hemN_3,9
group_7810,9
group_7173,9
group_154,9
gntK,9
bamE,9
bamD_bamD_1,9
alaA,9
yjaB_2,8
rpsQ,8
rpsC,8
rplP,8
rbfA,8
pyrI,8
nudE,8
menI,8
hflC,8
fabA,8
cidA,8
apt,8
yfcE,7
trxA_1,7
thiS,7
rpsU,7
rpsI,7
rplT,7
pta,7
msrB,7
ispF,7
group_8044,7
group_4093,7
group_1239,7
galS,7
exbD_2,7
dxr,7
dus,7
dsrF,7
dps,7
dnaB,7
diaA,7
cpxA_cpxA_1,7
clpS,7
can,7
ypeA_ypeA_1,6
yniC_2,6
yccF,6
ybaN,6
tusB,6
trpC_trpC_1,6
suhB,6
rsmE,6
rpsS,6
rpsO,6
rpsL,6
rpsE,6
rpoA,6
rpmC,6
rplX,6
rplV,6
rplE,6
rplD,6
rplA,6
rmf,6
rimP,6
queD,6
pal,6
nuoH,6
nfuA,6
murF_murF_1,6
msrC,6
ispG_ispG_2,6
iscA_2,6
ibpA,6
hslV,6
group_8049,6
group_747,6
group_4003,6
frr,6
folE_folE_2,6
feoC,6
fdhD,6
exbB_1_exbB_2,6
engB,6
dksA,6
zapD,5
ybfF,5
usg_usg_1,5
tsaE,5
truA,5
slyB,5
slyA,5
rpsG,5
rpmF,5
rplW,5
rplK,5
rplJ,5
rpe_2,5
rfaH,5
plaP,5
nuoB,5
nsrR,5
mntS,5
mdh_2,5
manX_2,5
lolB,5
iscR,5
ilvM,5
ilvH,5
group_7366,5
group_6151,5
group_4979,5
group_4205,5
group_1997,5
gph,5
glpR_4_glpR_5_glpR_1,5
gcvH,5
gapA,5
dnaQ,5
dgkA,5
csrA,5
cpxR,5
aroK,5
yhdT,4
yhcB,4
ygdR_1,4
yehT_yehT_1,4
yciK,4
ycdY,4
ybgI,4
ybgC,4
udp,4
tusE,4
trxA_2,4
Stx2i_53_FN252457|1242nt,4
sspB,4
slyX,4
sdhC,4
satP,4
rpsN,4
rpsD,4
rpsB,4
rpmE,4
rpmD,4
rplR,4
rplO,4
rplN,4
rplM,4
rplC,4
rnhA_rnhA_2_rnhA_1,4
pncC_1,4
plsY,4
pldB_pldB_2,4
ompX_1,4
nuoI_2_nuoI_1,4
nei,4
nagA_1,4
mtnN,4
mreD,4
menA,4
manZ_1_manZ_2,4
lexA_4,4
infC,4
ibpB,4
hisM,4
hinT,4
hemD,4
grxD,4
group_799,4
group_78,4
group_3713,4
group_3581,4
group_338,4
group_2620,4
group_2461,4
group_1743,4
group_1656,4
group_1592,4
group_1536,4
group_1521,4
group_125,4
group_1178,4
fur,4
fucU,4
ftsL,4
ftsB,4
folB,4
flgM,4
erpA,4
dsbE,4
artP,4
ampD,4
yjcH,3
ygjH,3
ygbE,3
ybaB,3
uidA:CP146653.1:2405030-2406841,3
tusD,3
sucD,3
Stx2i_43_OLC3602|1242nt,3
seqA,3
rsmD_rsmD_2,3
rsmA,3
rpsP,3
rpmI,3
rnt,3
ribF,3
ribA,3
pyrF,3
purC,3
ompA,3
nagB_1,3
mug,3
minE,3
manY,3
luxS,3
leuD,3
iscU,3
htpX,3
hfq,3
group_8038,3
group_800,3
group_755,3
group_7046,3
group_678,3
group_4683,3
group_4140,3
group_334,3
group_2865,3
group_1657,3
glnK,3
fldA,3
fadR,3
cysJ_2,3
coaE,3
cnu,3
cfa,3
ccmC,3
bolA,3
arfA,3
apaG,3
zapA,2
ygaV,2
ybjM,2
uspD_uspD_1,2
uspB,2
ubiX,2
tatD_tatD_2,2
tatC,2
sra,2
sfsA,2
rpsT,2
rpsR,2
rpsM,2
rpsK,2
rpsJ,2
rpsF,2
rplL,2
rplF,2
ribC,2
priB,2
pdhR_2,2
osmB,2
O/O8-36-wzt/1-1215,2
O/O8-35-wzt/1-1215,2
O/O8-32-wzt/1-1215,2
O/O8-16-wzm/1-795,2
nrdH,2
ndhC,2
napC,2
mog_mog_2_mog_1,2
moaE,2
moaC,2
moaB,2
mdaB,2
lolD_1,2
iscA_1,2
iclR,2
H/H19-5-fliC/1-1832,2
group_744,2
group_7422,2
group_3752,2
group_3296,2
group_2164,2
group_145,2
group_1369,2
group_1184,2
dtd,2
cysC,2
ccmD,2
baeR_baeR_2,2
argR,2
uspA,1
Stx2g_39_AJ966783|1242nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
O/O8-15-wzm/1-795,1
napB,1
mukE,1
kdsB,1
H/H19-4-fliC/1-1832,1
H/H19-2-fliC-origin/1-1842,1
H/H19-1-fliC-origin/1-1833,1
group_876,1
group_7117,1
group_519,1
group_4687,1
group_3909,1
group_3589,1
group_2400,1
gloA,1
galE,1
cydX,1
crr,1
corC_1,1
cetB,1
bssS,1
adk,1
#rname,numreads
