gene_name,number_of_reads_mapped
ehxA:11:EF204925/1-2997,17
pta,16
engB,16
clpS,16
rplL,15
nadK_nadK_2,15
grpE_grpE_1_grpE_2,15
rplJ,14
dnaB,14
ampD,14
yjaB_2,13
uidA:CP146653.1:2405030-2406841,13
trxA_2,13
rplA,13
pldB_pldB_2,13
ibpB,13
hslV,13
fdhD,13
uspB,12
tatC,12
sfsA,12
rfaH,12
nusA,12
luxS,12
hemN_2_hemN_3,12
group_755,12
group_2865,12
glpK_2,12
aroK,12
ybfF,11
tatB,11
rpsB,11
plaP,11
nagB_1,11
nagA_1,11
mug,11
mtnN,11
moaC,11
moaB,11
mdaB,11
lolB,11
group_4080,11
group_1369,11
dus,11
dksA,11
yehT_yehT_1,10
tusE,10
sdhE,10
rsmE,10
nuoI_2_nuoI_1,10
nuoH,10
murF_murF_1,10
lexA_4,10
ibpA,10
group_747,10
group_1743,10
erpA,10
cpxA_cpxA_1,10
bamD_bamD_1,10
alaA,10
zapA,9
ygaZ,9
yfcE,9
suhB,9
rsmA,9
queD,9
nrdH,9
menA,9
infC,9
iclR,9
htpX,9
hflC,9
group_8038,9
group_78,9
group_3752,9
cysJ_2,9
can,9
bamE,9
ypeA_ypeA_1,8
ygjH,8
yccF,8
ybgI,8
usg_usg_1,8
udp,8
trpC_trpC_1,8
tatD_tatD_2,8
tatA,8
sucD,8
rpsO,8
rplK,8
rplF,8
rimP,8
ribF,8
purC,8
O/O164-2-wzx-origin/1-1614,8
nuoB,8
nei,8
moaE,8
mdh_2,8
manZ_1_manZ_2,8
kdsB,8
iscR,8
ilvE,8
group_8049,8
group_7046,8
group_4736,8
group_3589,8
group_3581,8
group_2400,8
group_1656,8
gntK,8
fur,8
fabA,8
dsrF,8
dnaQ,8
dgkA,8
crr,8
corC_1,8
cfa,8
baeR_baeR_2,8
artP,8
argR,8
adk,8
ycdY,7
ybeY,7
uspD_uspD_1,7
Stx2b_109_GCA_017758065.1|1236nt,7
sspB,7
satP,7
rsmD_rsmD_2,7
rpoA,7
rplD,7
rplC,7
recX,7
pncC_1,7
plsY,7
pal,7
osmB,7
ompA,7
nudE,7
minE,7
ispG_ispG_2,7
ilvM,7
hisM,7
hinT,7
group_8044,7
group_7810,7
group_338,7
group_145,7
gapA,7
galS,7
exbD_2,7
dps,7
csrA,7
coaE,7
zapD,6
ybjM,6
ybgC,6
ybaB,6
udk_udk_1,6
tusD,6
tusB,6
Stx2b_113_2019-MIN-0073|1236nt,6
seqA,6
rpsT,6
rpsQ,6
rpsL,6
rpsJ,6
rpmI,6
rplR,6
rnhA_rnhA_2_rnhA_1,6
ribC,6
rbfA,6
priB,6
pdhR_2,6
ndhC,6
mukE,6
mreD,6
manX_2,6
hfq,6
hemD,6
group_800,6
group_4140,6
group_4003,6
group_334,6
group_2620,6
group_2461,6
gph,6
glpR_4_glpR_5_glpR_1,6
galE,6
fucU,6
exbB_1_exbB_2,6
cpxR,6
ccmC,6
yhcB,5
ubiX,5
tsaE,5
trxA_1,5
truA,5
thiS,5
Stx2b_109_GCA_011901285.1|1236nt,5
slyA,5
rpsU,5
rpsM,5
rpsG,5
rpsF,5
rplN,5
rplM,5
rplE,5
ompX_1,5
napC,5
napB,5
msrC,5
msrB,5
mog_mog_2_mog_1,5
manY,5
ilvH,5
ihfB,5
grxD,5
group_744,5
group_7366,5
group_519,5
group_4979,5
group_4683,5
group_3909,5
group_390,5
group_1657,5
group_1592,5
group_154,5
group_1536,5
group_1239,5
group_1184,5
gloA,5
glcC,5
ftsL,5
fadR,5
dsbE,5
cysC,5
cidA,5
bolA,5
arfA,5
yqjE,4
yjcH,4
yhdT,4
ygbE,4
ygaV,4
uspA,4
slyX,4
rpsP,4
rpsN,4
rpsI,4
rpsE,4
rpsD,4
rpsC,4
rpmF,4
rpmC,4
rplX,4
rplT,4
rplP,4
rpe_2,4
rnt,4
nfuA,4
mntS,4
lolD_1,4
leuD,4
ispF,4
iscA_2,4
group_799,4
group_7173,4
group_678,4
group_4205,4
group_3713,4
group_3296,4
group_1997,4
group_125,4
frr,4
flgM,4
diaA,4
cnu,4
ccmD,4
bssS,4
apaG,4
ygdR_1,3
yciK,3
ybaN,3
slyB,3
sdhC,3
rpsR,3
rpsK,3
rpmJ,3
rpmE,3
rplO,3
pyrI,3
pyrF,3
nsrR,3
menI,3
iscU,3
iscA_1,3
group_876,3
group_7117,3
group_4687,3
glnK,3
gcvH,3
ftsB,3
folB,3
fldA,3
feoC,3
dxr,3
dtd,3
apt,3
yniC_2,2
Stx2b_111_AASFSN010000227.1|1236nt,2
rpmD,2
rplW,2
O/O75-7-wzx/1-1533,2
O/O75-6-wzx/1-1533,2
O/O75-4-wzx/1-1533,2
H/H8-3-fliC/1-1479,2
H/H8-2-fliC-origin/1-1479,2
H/H8-1-fliC-origin/1-1479,2
group_7422,2
group_6151,2
group_1178,2
folE_folE_2,2
ehxA:9:AF043471/1-2997,2
ehxA:12:EF204923/1-2997,2
acrZ,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_460_GCA_015392115.1|1236nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_186_JAHVOU010000040.1|1236nt,1
Stx2b_109_ABGOCR010000002.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_60_JAHVSC010000007.1|1228nt,1
Stx1c_23_2020-SEQ-0387|1228nt,1
Stx1c_12_Z36901|1228nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
Stx1a_48_RRDS01000105.1|1227nt,1
Stx1a_31_AARQIY010000260.1|1227nt,1
Stx1a_206_AAQZCU010000431.1|1227nt,1
Stx1a_143_AASRIM010000276.1|1227nt,1
Stx1a_104_DABQTS010000012.1|1227nt,1
sra,1
rpsS,1
rplV,1
rmf,1
ribA,1
O/O75-9-wzx/1-1533,1
O/O75-8-wzx/1-1533,1
O/O75-11-wzy/1-1074,1
H/H8-4-fliC/1-1479,1
H/H27-10-fliC/1-1461,1
H/H2-16-fliC/1-1494,1
group_568,1
group_4093,1
group_1521,1
cydX,1
#rname,numreads
