gene_name,number_of_reads_mapped
pta,81
cpxR,78
group_4080,77
cpxA_cpxA_1,77
group_1369,73
glpK_2,73
nusA,72
glcC,72
ilvH,71
hemN_2_hemN_3,71
menA,70
ibpA,69
group_6151,69
dnaB,69
ibpB,68
hflC,68
pldB_pldB_2,67
rplF,66
mdh_2,66
gcvH,66
alaA,66
udp,65
exbB_1_exbB_2,65
uspA,64
tatC,64
rpoA,64
uidA:CP146653.1:2405030-2406841,63
rpsL,63
nfuA,63
ilvE,63
sspB,62
hslV,62
dnaQ,62
tatD_tatD_2,61
rpsI,61
rpsF,61
rplM,61
rplA,61
group_1656,61
luxS,60
galS,60
bamD_bamD_1,60
uspB,59
satP,59
mog_mog_2_mog_1,59
manX_2,59
group_7046,59
glpR_4_glpR_5_glpR_1,59
dxr,59
yhcB,58
rsmA,58
rpsB,58
pyrI,58
priB,58
group_3581,58
dsrF,58
can,58
yhdT,57
tusB,57
rplE,57
cysC,57
aroK,57
rpsK,56
rpsG,56
rpsE,56
group_800,56
group_755,56
group_338,56
ygaZ,55
tusD,55
rpsD,55
rplR,55
rplK,55
rplJ,55
rnhA_rnhA_2_rnhA_1,55
nuoH,55
mdaB,55
argR,55
rpsR,54
rpsM,54
rplC,54
rbfA,54
mtnN,54
leuD,54
group_747,54
rsmE,53
rpsN,53
rplD,53
pdhR_2,53
iclR,53
group_1536,53
gntK,53
diaA,53
cetB,53
suhB,52
rplW,52
rimP,52
recX,52
pncC_1,52
nsrR,52
ispG_ispG_2,52
hemD,52
group_8044,52
group_1997,52
engB,52
corC_1,52
yfcE,51
thiS,51
ompA,51
group_78,51
erpA,51
artP,51
yqjE,50
yehT_yehT_1,50
tatB,50
rplX,50
rplL,50
rpe_2,50
hisM,50
group_1743,50
group_1239,50
cysJ_2,50
cfa,50
zapA,49
tsaE,49
sfsA,49
rpsC,49
rplO,49
nei,49
nagA_1,49
lexA_4,49
ispF,49
group_8038,49
group_3296,49
group_154,49
fucU,49
frr,49
dsbE,49
arfA,49
apaG,49
tatA,48
slyA,48
ribF,48
nadK_nadK_2,48
mreD,48
group_8049,48
group_4683,48
group_2400,48
fdhD,48
yjcH,47
ygjH,47
yccF,47
ybgI,47
uspD_uspD_1,47
trxA_2,47
trxA_1,47
sdhC,47
queD,47
purC,47
murF_murF_1,47
group_519,47
group_4979,47
galE,47
ftsL,47
dus,47
coaE,47
ampD,47
yjaB_2,46
sucD,46
slyB,46
rplN,46
hfq,46
group_3589,46
fur,46
ypeA_ypeA_1,45
rpsJ,45
rnt,45
nuoB,45
nudE,45
glnK,45
ygaV,44
slyX,44
rfaH,44
plsY,44
nrdH,44
moaC,44
iscU,44
iscA_1,44
ilvM,44
group_2865,44
gph,44
folE_folE_2,44
fabA,44
dksA,44
adk,44
zapD,43
ygbE,43
ybeY,43
rpsO,43
ribA,43
ompX_1,43
group_7810,43
group_4736,43
sdhE,42
rsmD_rsmD_2,42
rpmE,42
rpmD,42
nagB_1,42
mug,42
iscR,42
group_3752,42
trpC_trpC_1,41
rpsU,41
ribC,41
moaB,41
hinT,41
group_4140,41
group_4003,41
dtd,41
ybfF,40
usg_usg_1,40
rplV,40
mukE,40
kdsB,40
group_7173,40
group_678,40
group_334,40
ftsB,40
fadR,40
csrA,40
clpS,40
bolA,40
ybjM,39
rpmJ,39
ndhC,39
lolD_1,39
group_3713,39
group_2461,39
gloA,39
yciK,38
udk_udk_1,38
tusE,38
rpsQ,38
rpmC,38
msrC,38
htpX,38
group_145,38
group_1178,38
dps,38
bamE,38
apt,38
yniC_2,37
ubiX,37
rpsT,37
nuoI_2_nuoI_1,37
grpE_grpE_1_grpE_2,37
group_876,37
gapA,37
folB,37
fldA,37
ygdR_1,36
Stx2e_36_AJ313016|1236nt,36
seqA,36
rplP,36
moaE,36
crr,36
cidA,36
baeR_baeR_2,36
rpsS,35
rpsP,35
infC,35
group_568,35
feoC,35
exbD_2,35
dgkA,35
group_1521,34
rpmF,33
group_7366,33
group_4205,33
ycdY,32
rplT,32
msrB,32
group_744,32
group_7117,32
group_2620,32
ybaN,31
pal,31
manZ_1_manZ_2,31
group_1657,31
truA,30
manY,30
ihfB,30
H/H10-17-fliC/1-1263,30
group_125,30
group_1184,30
pyrF,29
mntS,29
group_799,29
group_7422,29
group_1592,29
ybgC,28
ybaB,28
rpmI,28
rmf,28
minE,28
lolB,28
grxD,28
group_4687,28
ccmC,28
acrZ,28
menI,27
cnu,27
bssS,27
sra,26
napB,26
group_3909,26
osmB,23
flgM,23
group_4093,22
group_390,22
group_2164,22
ccmD,22
iscA_2,20
napC,17
cydX,17
Stx2e_91_1706T56070:138:unpublished:138|1236nt,16
group_7622,11
Stx2e_52_FM998838|1235nt,6
Stx2e_36_AM939642|1236nt,5
Stx2l_21_GCF_015159895.1|1241nt,4
Stx2e_64_FN182286|1236nt,4
Stx2e_36_AJ567998|1236nt,4
Stx2e_31_GCF_002534745.1|1236nt,3
H/H10-18-fliC/1-1263,3
Stx2e_133_GCA_021534925|1236nt,2
Stx2e_102_1810F65304:137:unpublished:137|1236nt,2
H/H10-2-fliC-origin/1-1263,2
H/H10-19-fliC/1-1263,2
Stx2i_43_OLC3602|1242nt,1
Stx2e_80_X81418|1236nt,1
Stx2e_25_M21534|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
H/H10-27-fliC/1-1263,1
H/H10-22-fliC/1-1263,1
H/H10-20-fliC/1-1263,1
H/H10-1-fliC-origin/1-1263,1
#rname,numreads
