gene_name,number_of_reads_mapped
nadK_nadK_2,22
glcC,21
grpE_grpE_1_grpE_2,20
nusA,19
ilvE,17
group_8049,17
group_4080,17
diaA,17
hemN_2_hemN_3,16
group_8044,16
glpK_2,16
engB,16
pyrI,15
hflC,15
group_154,15
gntK,15
can,15
bamD_bamD_1,15
yjaB_2,14
mdh_2,14
group_7173,14
dps,14
alaA,14
yqjE,13
yccF,13
usg_usg_1,13
udk_udk_1,13
truA,13
rsmE,13
plaP,13
murF_murF_1,13
group_7810,13
dsrF,13
cidA,13
bamE,13
ygaZ,12
sspB,12
rbfA,12
pldB_pldB_2,12
nsrR,12
manX_2,12
ilvM,12
group_4736,12
dnaQ,12
dnaB,12
dgkA,12
apt,12
yniC_2,11
tusB,11
trxA_1,11
slyB,11
rpsI,11
rpsC,11
rpoA,11
rplA,11
rpe_2,11
rnhA_rnhA_2_rnhA_1,11
nagA_1,11
mntS,11
ilvH,11
hemD,11
group_3581,11
exbB_1_exbB_2,11
dus,11
dksA,11
clpS,11
ybgI,10
suhB,10
slyA,10
rpsL,10
rpsG,10
rpsE,10
rpsD,10
rplT,10
rplP,10
pta,10
nudE,10
msrB,10
mreD,10
moaE,10
menI,10
luxS,10
lolB,10
ispG_ispG_2,10
ispF,10
hinT,10
group_747,10
group_6151,10
group_1657,10
group_1239,10
gph,10
galS,10
folE_folE_2,10
fabA,10
exbD_2,10
dxr,10
dsbE,10
cpxA_cpxA_1,10
ygjH,9
ybjM,9
ybfF,9
udp,9
tusD,9
tsaE,9
thiS,9
slyX,9
rpsU,9
rpsQ,9
rpsP,9
rpsO,9
rpsB,9
rplO,9
rplJ,9
rplD,9
rmf,9
ribF,9
pal,9
nuoH,9
nfuA,9
nagB_1,9
msrC,9
lexA_4,9
hslV,9
group_78,9
group_4093,9
group_338,9
group_1997,9
group_1656,9
group_1521,9
group_1178,9
fdhD,9
erpA,9
csrA,9
cpxR,9
aroK,9
acrZ,9
zapD,8
ypeA_ypeA_1,8
yhdT,8
yfcE,8
ybaN,8
trxA_2,8
satP,8
rsmA,8
rpsS,8
rpsR,8
rpsM,8
rpsK,8
rpsF,8
rpmF,8
rpmD,8
rplX,8
rplV,8
rplE,8
rplC,8
rimP,8
queD,8
nuoB,8
moaC,8
leuD,8
iscA_2,8
infC,8
group_4205,8
group_4003,8
group_3713,8
group_334,8
group_2865,8
group_1536,8
group_1184,8
galE,8
flgM,8
fldA,8
cysJ_2,8
argR,8
arfA,8
yhcB,7
ygbE,7
yciK,7
ycdY,7
ybgC,7
tusE,7
trpC_trpC_1,7
Stx2i_43_OLC3602|1242nt,7
sfsA,7
sdhC,7
rsmD_rsmD_2,7
rpmE,7
rpmC,7
rplW,7
rplR,7
rplK,7
rplF,7
rfaH,7
purC,7
priB,7
ompX_1,7
ompA,7
nrdH,7
nei,7
ndhC,7
napC,7
mug,7
mog_mog_2_mog_1,7
minE,7
menA,7
manY,7
iscR,7
ibpA,7
hfq,7
group_7366,7
group_7046,7
group_4979,7
group_4140,7
group_2620,7
group_2461,7
group_1743,7
glpR_4_glpR_5_glpR_1,7
gcvH,7
ftsL,7
ftsB,7
frr,7
folB,7
feoC,7
coaE,7
cfa,7
baeR_baeR_2,7
apaG,7
yjcH,6
ygdR_1,6
yehT_yehT_1,6
uspD_uspD_1,6
uspB,6
uidA:CP146653.1:2405030-2406841,6
sucD,6
Stx2i_53_FN252457|1242nt,6
seqA,6
rpsN,6
rpsJ,6
rplN,6
rplM,6
pncC_1,6
plsY,6
napB,6
mtnN,6
moaB,6
manZ_1_manZ_2,6
kdsB,6
ibpB,6
htpX,6
hisM,6
grxD,6
group_8038,6
group_799,6
group_744,6
group_4683,6
group_1592,6
group_145,6
gapA,6
fur,6
fucU,6
fadR,6
cysC,6
bolA,6
ampD,6
zapA,5
ybaB,5
uspA,5
tatD_tatD_2,5
tatC,5
rpmI,5
ribC,5
ribA,5
osmB,5
O/O8-32-wzt/1-1215,5
iscU,5
group_876,5
group_800,5
group_755,5
group_678,5
group_519,5
group_3752,5
group_2400,5
group_2164,5
group_125,5
glnK,5
ccmC,5
bssS,5
artP,5
tatB,4
rpsT,4
rpmJ,4
rplL,4
rnt,4
pyrF,4
nuoI_2_nuoI_1,4
mukE,4
mdaB,4
lolD_1,4
iclR,4
group_7422,4
group_7117,4
group_4687,4
group_3909,4
group_3589,4
group_3296,4
dtd,4
adk,4
ygaV,3
ybeY,3
ubiX,3
tatA,3
recX,3
pdhR_2,3
O/O8-16-wzm/1-795,3
iscA_1,3
group_1369,3
gloA,3
crr,3
cnu,3
cetB,3
ccmD,3
sra,2
O/O8-36-wzt/1-1215,2
O/O8-35-wzt/1-1215,2
ihfB,2
H/H19-5-fliC/1-1832,2
H/H19-4-fliC/1-1832,2
H/H19-2-fliC-origin/1-1842,2
group_568,2
corC_1,2
Stx2g_39_AJ966783|1242nt,1
Stx2e_85_FM998844|1236nt,1
Stx2e_36_AJ313016|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
Stx2e_102_1810F65304:137:unpublished:137|1236nt,1
sdhE,1
O/O8-31-wzt/1-1215,1
O/O8-2-wzm-origin/1-795,1
O/O8-28-wzt/1-1215,1
O/O8-27-wzt/1-1215,1
O/O8-20-wzm/1-795,1
O/O8-15-wzm/1-795,1
O/O8-12-wzm/1-795,1
H/H28-8-fliC/1-1740,1
H/H19-6-fliC/1-1832,1
H/H19-1-fliC-origin/1-1833,1
H/H19-11-fliC/1-1842,1
group_7622,1
group_390,1
cydX,1
#rname,numreads
