gene_name,number_of_reads_mapped
pta,90
cpxR,87
group_4080,86
cpxA_cpxA_1,86
group_1369,84
dnaB,84
nusA,83
glpK_2,83
ibpB,82
ibpA,82
ilvH,81
glcC,81
rpoA,80
menA,78
hemN_2_hemN_3,78
group_6151,77
rplM,76
pldB_pldB_2,76
tatC,75
hflC,75
uidA:CP146653.1:2405030-2406841,74
udp,74
rpsL,74
alaA,74
rpsI,73
rplF,73
nfuA,73
mdh_2,73
tatD_tatD_2,71
rsmA,71
galS,71
uspA,70
rpsF,70
rpsD,70
yhcB,69
sspB,69
luxS,69
hslV,69
gcvH,69
dsrF,69
uspB,68
rpsK,68
rplA,68
exbB_1_exbB_2,68
rpsG,67
manX_2,67
ilvE,67
group_1656,67
dnaQ,67
rpsM,66
rplE,66
rplD,66
rplC,66
group_7046,66
can,66
bamD_bamD_1,66
aroK,66
tusD,65
tusB,65
rpsB,65
pyrI,65
mtnN,65
group_755,65
priB,64
pncC_1,64
group_3581,64
group_338,64
glpR_4_glpR_5_glpR_1,64
dxr,64
cysC,64
rpsE,63
rplJ,63
mog_mog_2_mog_1,63
iclR,63
hemD,63
satP,62
rpsN,62
rplR,62
rimP,62
ispF,62
group_800,62
group_747,62
yhdT,61
tatB,61
recX,61
rbfA,61
leuD,61
engB,61
ygaZ,60
yfcE,60
rplW,60
rplK,60
rnhA_rnhA_2_rnhA_1,60
pdhR_2,60
nuoH,60
nsrR,60
mdaB,60
apaG,60
suhB,59
rsmE,59
rpsR,59
group_154,59
diaA,59
cetB,59
argR,59
ampD,59
zapA,58
rpsC,58
rpe_2,58
ispG_ispG_2,58
group_1536,58
gntK,58
cfa,58
yqjE,57
yjaB_2,57
thiS,57
rplX,57
ompA,57
nagA_1,57
group_8049,57
group_8044,57
group_78,57
group_1997,57
group_1239,57
corC_1,57
tatA,56
sfsA,56
rplO,56
ribF,56
group_8038,56
group_3296,56
group_1743,56
ygjH,55
hisM,55
frr,55
erpA,55
arfA,55
yehT_yehT_1,54
uspD_uspD_1,54
trxA_2,54
rpsJ,54
rplN,54
rplL,54
nudE,54
nadK_nadK_2,54
mreD,54
lexA_4,54
fucU,54
dus,54
artP,54
tsaE,53
sucD,53
purC,53
group_2400,53
glnK,53
galE,53
fdhD,53
dsbE,53
ybgI,52
slyA,52
rfaH,52
plsY,52
nuoB,52
hfq,52
group_7810,52
group_519,52
group_4979,52
fur,52
folE_folE_2,52
cysJ_2,52
yjcH,51
ygbE,51
yccF,51
ybfF,51
trxA_1,51
sdhC,51
rsmD_rsmD_2,51
rpsU,51
ribA,51
queD,51
nei,51
group_4736,51
group_4683,51
gph,51
coaE,51
ypeA_ypeA_1,50
nrdH,50
murF_murF_1,50
kdsB,50
ftsL,50
ftsB,50
ygaV,49
slyX,49
ribC,49
mug,49
iscR,49
group_2461,49
adk,49
rpmJ,48
rplV,48
rnt,48
nagB_1,48
moaC,48
ilvM,48
group_7173,48
group_4003,48
fabA,48
dtd,48
dksA,48
yciK,47
ybjM,47
ybeY,47
slyB,47
rpsO,47
iscU,47
group_3589,47
clpS,47
zapD,46
sdhE,46
rpsT,46
rpsQ,46
rpmC,46
ompX_1,46
msrC,46
iscA_1,46
group_4140,46
group_3713,46
group_334,46
group_2865,46
udk_udk_1,45
tusE,45
rpmE,45
rpmD,45
mukE,45
htpX,45
hinT,45
fadR,45
crr,45
trpC_trpC_1,44
seqA,44
rplP,44
moaE,44
grpE_grpE_1_grpE_2,44
group_876,44
group_678,44
group_3752,44
group_1178,44
folB,44
fldA,44
bolA,44
ygdR_1,43
usg_usg_1,43
rpsP,43
ndhC,43
moaB,43
group_1521,43
feoC,43
csrA,43
baeR_baeR_2,43
apt,43
lolD_1,42
yniC_2,41
ubiX,41
rpsS,41
gloA,41
exbD_2,41
dps,41
dgkA,41
Stx2e_36_AJ313016|1236nt,40
nuoI_2_nuoI_1,40
manZ_1_manZ_2,40
manY,40
group_744,40
group_145,40
gapA,40
cidA,40
bamE,40
ycdY,37
ybaN,37
rpmF,37
infC,37
group_7366,37
group_568,37
group_2620,37
group_125,37
group_1184,37
pyrF,36
group_799,36
group_1592,36
rplT,35
msrB,35
group_1657,35
ybgC,34
pal,34
mntS,34
H/H10-17-fliC/1-1263,34
group_7117,34
group_4205,34
ccmC,34
ihfB,33
group_4687,33
ybaB,32
truA,32
menI,32
acrZ,32
rpmI,31
napB,31
minE,31
lolB,31
cnu,31
bssS,31
sra,30
rmf,30
grxD,30
group_7422,30
group_3909,30
osmB,29
group_4093,28
group_2164,28
ccmD,28
flgM,26
iscA_2,25
group_390,24
napC,21
cydX,20
Stx2e_91_1706T56070:138:unpublished:138|1236nt,16
group_7622,13
Stx2e_52_FM998838|1235nt,6
Stx2e_36_AM939642|1236nt,5
Stx2e_36_AJ567998|1236nt,5
Stx2l_21_GCF_015159895.1|1241nt,4
Stx2e_64_FN182286|1236nt,4
Stx2e_31_GCF_002534745.1|1236nt,3
H/H10-18-fliC/1-1263,3
Stx2e_80_X81418|1236nt,2
Stx2e_133_GCA_021534925|1236nt,2
Stx2e_102_1810F65304:137:unpublished:137|1236nt,2
H/H10-2-fliC-origin/1-1263,2
H/H10-1-fliC-origin/1-1263,2
H/H10-19-fliC/1-1263,2
Stx2i_43_OLC3602|1242nt,1
Stx2e_25_M21534|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
H/H10-27-fliC/1-1263,1
H/H10-22-fliC/1-1263,1
H/H10-20-fliC/1-1263,1
#rname,numreads
