gene_name,number_of_reads_mapped
dnaB,53
pta,50
ehxA:11:EF204925/1-2997,48
nusA,41
pldB_pldB_2,40
ybfF,39
nagA_1,39
uidA:CP146653.1:2405030-2406841,37
hemN_2_hemN_3,37
glpK_2,37
ybgI,36
rsmA,36
rplL,36
nadK_nadK_2,36
group_4080,36
rplJ,35
mug,35
group_7046,35
sfsA,34
rplA,34
hslV,34
bamD_bamD_1,34
suhB,33
rimP,33
grpE_grpE_1_grpE_2,33
engB,33
cysJ_2,33
rsmE,32
rpsB,32
menA,32
iclR,32
dus,32
dksA,32
zapA,31
trpC_trpC_1,31
satP,31
rplF,31
plaP,31
mdh_2,31
kdsB,31
dxr,31
artP,31
ubiX,30
tatD_tatD_2,30
tatC,30
tatB,30
nagB_1,30
fur,30
trxA_2,29
rpoA,29
rpe_2,29
lolB,29
iscR,29
exbB_1_exbB_2,29
dgkA,29
crr,29
cpxA_cpxA_1,29
aroK,29
yjaB_2,28
yccF,28
sucD,28
purC,28
nrdH,28
luxS,28
hemD,28
group_8044,28
group_3581,28
group_1369,28
corC_1,28
bamE,28
baeR_baeR_2,28
uspB,27
rsmD_rsmD_2,27
rbfA,27
manZ_1_manZ_2,27
group_78,27
yjcH,26
rpsF,26
ribF,26
recX,26
plsY,26
nei,26
murF_murF_1,26
mog_mog_2_mog_1,26
manY,26
ibpB,26
group_4003,26
group_2865,26
group_2620,26
group_1239,26
gph,26
gapA,26
fabA,26
ampD,26
yfcE,25
yehT_yehT_1,25
udp,25
tusE,25
rpsM,25
nuoH,25
mdaB,25
manX_2,25
ilvE,25
hisM,25
group_8049,25
galS,25
erpA,25
dnaQ,25
cfa,25
apaG,25
alaA,25
zapD,24
sdhE,24
rplE,24
rfaH,24
queD,24
napC,24
mtnN,24
group_8038,24
group_755,24
group_4736,24
group_3752,24
group_3589,24
gntK,24
glpR_4_glpR_5_glpR_1,24
fldA,24
can,24
tatA,23
rpsO,23
rplM,23
priB,23
pdhR_2,23
O/O164-2-wzx-origin/1-1614,23
ompA,23
nuoB,23
nfuA,23
ispG_ispG_2,23
group_7810,23
group_1656,23
exbD_2,23
dtd,23
argR,23
yqjE,22
ypeA_ypeA_1,22
yniC_2,22
ygbE,22
seqA,22
rpsK,22
rpsJ,22
rpsD,22
rplX,22
rplO,22
rplN,22
pyrF,22
moaB,22
group_747,22
group_2400,22
fucU,22
frr,22
fdhD,22
ybeY,21
usg_usg_1,21
truA,21
rpsI,21
rpsE,21
rplK,21
nuoI_2_nuoI_1,21
minE,21
ibpA,21
group_7366,21
group_7173,21
group_2461,21
group_1743,21
group_145,21
flgM,21
fadR,21
cysC,21
coaE,21
adk,21
ygjH,20
ygaZ,20
ygaV,20
ycdY,20
tsaE,20
thiS,20
rpsN,20
rplR,20
rnhA_rnhA_2_rnhA_1,20
napB,20
msrB,20
moaC,20
lexA_4,20
leuD,20
iscA_2,20
infC,20
group_4140,20
group_1997,20
group_1536,20
diaA,20
arfA,20
yhcB,19
ybjM,19
ybgC,19
ybaN,19
trxA_1,19
rpsT,19
rpsQ,19
rpsC,19
rpmC,19
rplP,19
rplD,19
rplC,19
pyrI,19
pncC_1,19
nudE,19
ispF,19
hinT,19
hfq,19
hflC,19
group_4979,19
group_4687,19
group_1592,19
group_125,19
glcC,19
galE,19
folB,19
dsbE,19
cpxR,19
clpS,19
cidA,19
ccmC,19
yhdT,18
uspD_uspD_1,18
rpsR,18
rpsP,18
pal,18
mukE,18
mreD,18
moaE,18
iscA_1,18
ilvM,18
ilvH,18
htpX,18
grxD,18
group_876,18
group_800,18
group_744,18
group_3713,18
ftsB,18
dsrF,18
bolA,18
yciK,17
ybaB,17
sspB,17
rpsL,17
rpsG,17
rpmJ,17
rpmD,17
osmB,17
group_519,17
group_4683,17
gcvH,17
rpsU,16
nsrR,16
ndhC,16
lolD_1,16
group_678,16
group_6151,16
group_4093,16
group_338,16
ftsL,16
dps,16
cetB,16
udk_udk_1,15
sdhC,15
rpmE,15
rnt,15
ribC,15
ompX_1,15
menI,15
iscU,15
group_568,15
group_390,15
group_154,15
gloA,15
csrA,15
bssS,15
tusB,14
rpmI,14
rpmF,14
rplW,14
rplT,14
O/O75-11-wzy/1-1074,14
group_4205,14
group_1184,14
feoC,14
ccmD,14
uspA,13
rmf,13
ribA,13
msrC,13
group_799,13
folE_folE_2,13
tusD,12
Stx2b_109_GCA_017758065.1|1236nt,12
slyX,12
ihfB,12
group_3296,12
group_1657,12
apt,12
ygdR_1,11
H/H8-1-fliC-origin/1-1479,11
group_7117,11
acrZ,11
Stx2b_109_GCA_011901285.1|1236nt,10
slyA,10
mntS,10
group_3909,10
group_334,10
group_2164,10
cnu,10
Stx2b_113_2019-MIN-0073|1236nt,9
rpsS,9
rplV,9
glnK,9
cydX,9
group_7422,8
group_1521,8
sra,7
slyB,7
H/H8-4-fliC/1-1479,7
O/O75-7-wzx/1-1533,6
O/O75-4-wzx/1-1533,6
Stx1c_12_Z36901|1228nt,5
group_1178,5
Stx2b_460_GCA_015392115.1|1236nt,4
Stx2b_109_ABGOCR010000002.1|1236nt,4
Stx1c_12_DQ449666|1228nt,4
ehxA:12:EF204923/1-2997,4
Stx1c_26_ABNCNA010000007.1|1227nt,3
O/O75-8-wzx/1-1533,3
O/O75-6-wzx/1-1533,3
O/O75-5-wzx/1-1533,3
H/H8-3-fliC/1-1479,3
H/H8-2-fliC-origin/1-1479,3
Stx2b_209_GCA_022638015.1|1236nt,2
Stx2b_186_JAHVOU010000040.1|1236nt,2
Stx2b_118_GCA_020730145.1|1236nt,2
Stx2b_111_AASFSN010000227.1|1236nt,2
Stx1c_7_AB071624|1228nt,2
Stx1c_60_JAHVSC010000007.1|1228nt,2
Stx1c_3_AB048237|1228nt,2
Stx1c_2_AB048235|1227nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1c_22_2018-SEQ-1382|1228nt,2
Stx1a_9_JACINY010000003.1|1227nt,2
Stx1a_206_AAQZCU010000431.1|1227nt,2
Stx1a_104_DABQTS010000012.1|1227nt,2
ehxA:9:AF043471/1-2997,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_46_AB048226|1242nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_308_GCA_012077395.1|1236nt,1
Stx2b_247_GCA_022638215.1|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_138_GCA_014948525.1|1236nt,1
Stx2b_110_JAEKHN010000165.1|1236nt,1
Stx2b_109_JAHVSF010000055.1|1236nt,1
Stx2b_109_DADYZK010000108.1|1236nt,1
Stx2b_109_ABELGX010000037.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx2b_101_AJ567997|1236nt,1
Stx1c_418_LM996413.1|1227nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
Stx1a_9_AAUCMO010000167.1|1227nt,1
Stx1a_48_RRDS01000105.1|1227nt,1
Stx1a_452_AASGUX010000209.1|1226nt,1
Stx1a_396_DAJLGU010000154.1|1227nt,1
Stx1a_366_ABKYTI010000080.1|1227nt,1
Stx1a_31_AARQIY010000260.1|1227nt,1
Stx1a_279_ABADSH010000285.1|1227nt,1
Stx1a_231_DABTIZ010000166.1|1227nt,1
Stx1a_19_AARFFE010000089.1|1227nt,1
Stx1a_199_AAAAKJ020000267.1|1227nt,1
Stx1a_193_ABDICZ010000267.1|1227nt,1
Stx1a_175_ABKNEZ010000095.1|1227nt,1
Stx1a_173_ABNEXB010000095.1|1227nt,1
Stx1a_166_ABGBSO010000231.1|1227nt,1
Stx1a_147_ABHXMP010000378.1|1227nt,1
Stx1a_143_AASRIM010000276.1|1227nt,1
Stx1a_120_AAYWKK010000307.1|1227nt,1
O/O75-9-wzx/1-1533,1
H/H27-10-fliC/1-1461,1
H/H21-9-fliC/1-1476,1
H/H2-16-fliC/1-1494,1
H/H11-11-fliC/1-1459,1
group_7622,1
#rname,numreads
