gene_name,number_of_reads_mapped
iclR,28
rplN,26
rplC,25
group_8044,25
seqA,23
rpsQ,23
pldB_pldB_2,23
rpmC,22
rplX,22
rplP,22
group_8038,22
group_755,22
ybfF,21
rpsJ,21
rpsC,21
rplV,21
napC,21
ampD,21
rplE,20
recX,20
plsY,20
manX_2,20
glpR_4_glpR_5_glpR_1,20
dxr,20
yciK,19
rpoA,19
mdh_2,19
ibpB,19
group_6151,19
frr,19
alaA,19
zapD,18
ycdY,18
ubiX,18
trxA_2,18
sucD,18
rpsS,18
rplW,18
rplD,18
rpe_2,18
pta,18
pncC_1,18
plaP,18
group_4080,18
group_3713,18
group_1997,18
flgM,18
dnaQ,18
aroK,18
yqjE,17
uspD_uspD_1,17
uidA:CP146653.1:2405030-2406841,17
udp,17
tatC,17
tatB,17
rpsR,17
rpsN,17
rpsB,17
rplO,17
rnt,17
priB,17
napB,17
mdaB,17
ibpA,17
group_78,17
group_7173,17
group_4683,17
group_3581,17
group_1369,17
glpK_2,17
fucU,17
fldA,17
coaE,17
cfa,17
yjcH,16
udk_udk_1,16
tatD_tatD_2,16
tatA,16
rpsD,16
rplA,16
purC,16
pdhR_2,16
nuoB,16
luxS,16
hisM,16
group_800,16
group_7046,16
group_2620,16
gph,16
gloA,16
glnK,16
galS,16
folB,16
fdhD,16
fadR,16
diaA,16
cysC,16
cpxA_cpxA_1,16
bolA,16
bamD_bamD_1,16
yjaB_2,15
ygaV,15
trpC_trpC_1,15
sfsA,15
rsmA,15
rplF,15
rnhA_rnhA_2_rnhA_1,15
ribA,15
mreD,15
moaB,15
menA,15
ispF,15
iscR,15
grxD,15
group_7117,15
group_4979,15
group_145,15
group_1184,15
folE_folE_2,15
exbB_1_exbB_2,15
dksA,15
cysJ_2,15
cpxR,15
clpS,15
yhcB,14
ygdR_1,14
ygaZ,14
thiS,14
slyB,14
rsmE,14
rpsE,14
rpmD,14
rplM,14
rplK,14
ribC,14
queD,14
pyrI,14
ompX_1,14
nrdH,14
lolB,14
ilvH,14
grpE_grpE_1_grpE_2,14
group_4140,14
group_338,14
group_1239,14
gntK,14
dus,14
dnaB,14
crr,14
ccmC,14
can,14
adk,14
ygbE,13
yccF,13
uspB,13
tusE,13
tusD,13
rpsT,13
rpsI,13
rpmF,13
rplR,13
rplL,13
rplJ,13
rfaH,13
nusA,13
nudE,13
moaE,13
moaC,13
lolD_1,13
ilvE,13
hfq,13
hflC,13
group_678,13
group_4003,13
group_334,13
group_1743,13
group_1656,13
fur,13
ftsB,13
cetB,13
argR,13
arfA,13
apt,13
zapA,12
yhdT,12
yehT_yehT_1,12
ybaN,12
tsaE,12
sdhE,12
rsmD_rsmD_2,12
rpsG,12
rpsF,12
ribF,12
pal,12
nsrR,12
ndhC,12
nagB_1,12
nadK_nadK_2,12
murF_murF_1,12
msrC,12
mog_mog_2_mog_1,12
manY,12
ispG_ispG_2,12
ilvM,12
hinT,12
group_7810,12
group_747,12
group_4736,12
group_3909,12
group_2400,12
dsrF,12
bamE,12
apaG,12
yfcE,11
ybjM,11
ybgI,11
ybaB,11
usg_usg_1,11
trxA_1,11
sspB,11
slyA,11
sdhC,11
rpsU,11
rpsK,11
rpmE,11
rimP,11
ompA,11
nagA_1,11
mukE,11
manZ_1_manZ_2,11
lexA_4,11
hemN_2_hemN_3,11
hemD,11
group_8049,11
group_3589,11
group_2461,11
group_1536,11
group_125,11
glcC,11
gcvH,11
dsbE,11
corC_1,11
cidA,11
ccmD,11
bssS,11
acrZ,11
ygjH,10
uspA,10
truA,10
satP,10
rpsM,10
rpsL,10
pyrF,10
nfuA,10
mug,10
leuD,10
group_519,10
dtd,10
csrA,10
ybeY,9
tusB,9
suhB,9
sra,9
slyX,9
rpmJ,9
rplT,9
osmB,9
nei,9
mtnN,9
minE,9
iscA_2,9
hslV,9
group_744,9
group_2164,9
group_1657,9
group_154,9
group_1521,9
group_1178,9
gapA,9
feoC,9
fabA,9
erpA,9
engB,9
rpmI,8
rbfA,8
O/O128-3-wzx-origin/1-1443,8
menI,8
kdsB,8
infC,8
htpX,8
group_876,8
group_799,8
group_7366,8
group_568,8
group_4093,8
group_2865,8
galE,8
exbD_2,8
dps,8
yniC_2,7
rpsO,7
nuoH,7
msrB,7
mntS,7
iscU,7
iscA_1,7
group_390,7
ypeA_ypeA_1,6
ybgC,6
rmf,6
ihfB,6
group_7622,6
group_4687,6
group_3296,6
dgkA,6
cydX,6
cnu,6
artP,6
H/H2-2-fliC-origin/1-1494,5
group_7422,5
group_1592,5
ftsL,5
Stx1c_12_Z36901|1228nt,4
rpsP,4
O/O164-2-wzx-origin/1-1614,4
O/O128-8-wzx/1-1443,4
O/O128-7-wzx/1-1443,4
group_4205,4
group_3752,4
baeR_baeR_2,4
Stx2b_110_ABJBRM010000291.1|1236nt,3
O/O128-5-wzy-origin/1-1044,3
nuoI_2_nuoI_1,3
H/H2-12-fliC/1-1494,3
Stx2b_116_ABEATB010000152.1|1236nt,2
Stx2b_110_AATFTC010000164.1|1236nt,2
Stx1c_25_2020-CAL-0073|1228nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1c_12_DQ449666|1228nt,2
O/O128-2-wzy-origin/1-1044,2
O/O128-14-wzy/1-1044,2
Stx2b_45_AJ313015|1236nt,1
Stx2b_452_GCA_027230965.1|1236nt,1
Stx2b_324_GCA_011835235.1|1236nt,1
Stx2b_239_GCA_020020755.1|1236nt,1
Stx2b_221_ABFLPP010000340.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_116_JAOQLE010000001.1|1236nt,1
Stx2b_116_AF043627|1236nt,1
Stx2b_116_AASOGG010000102.1|1236nt,1
Stx2b_116_AAQWQP010000110.1|1236nt,1
Stx2b_113_2019-MIN-0073|1236nt,1
Stx2b_111_CAJVJH010000058.1|1236nt,1
Stx2b_110_JAEKHN010000165.1|1236nt,1
Stx2b_110_2019-BUR-0117|1236nt,1
Stx2b_109_AARSUM010000040.1|1236nt,1
Stx2b_101_JAKYQU010000035.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_60_JAHVSC010000007.1|1228nt,1
Stx1c_422_AARTGS010000025.1|1228nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_2_AB048235|1227nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
O/O128-9-wzx/1-1443,1
O/O128-15-wzy/1-1045,1
H/H2-5-fliC/1-1489,1
H/H2-17-fliC/1-1494,1
H/H2-15-fliC/1-1494,1
#rname,numreads
