gene_name,number_of_reads_mapped
cpxA_cpxA_1,46
pldB_pldB_2,44
rplC,40
group_1656,39
pta,38
iclR,38
group_8044,38
group_4080,36
rpsJ,35
rplN,35
purC,35
rpsC,34
rplP,34
cpxR,34
rpsQ,33
aroK,33
alaA,33
uspD_uspD_1,32
rpmC,32
grpE_grpE_1_grpE_2,32
group_8038,32
group_78,32
group_6151,32
dxr,32
tatC,31
tatB,31
seqA,31
recX,31
nuoB,31
manX_2,31
group_4683,31
glpK_2,31
ybfF,30
udk_udk_1,30
rpoA,30
rplV,30
rplD,30
pdhR_2,30
nadK_nadK_2,30
hisM,30
group_755,30
group_4979,30
group_1997,30
crr,30
bolA,30
bamD_bamD_1,30
uidA:CP146653.1:2405030-2406841,29
udp,29
ubiX,29
trxA_2,29
rsmE,29
rplX,29
pncC_1,29
plsY,29
plaP,29
ilvE,29
group_3713,29
galS,29
frr,29
dnaQ,29
can,29
zapD,28
yjcH,28
ybgI,28
tusD,28
tatA,28
rplE,28
ndhC,28
napC,28
mdh_2,28
group_4140,28
group_3909,28
glpR_4_glpR_5_glpR_1,28
folE_folE_2,28
dsrF,28
yqjE,27
yciK,27
tatD_tatD_2,27
sucD,27
rpsS,27
rplO,27
rplA,27
pyrI,27
mreD,27
moaB,27
ilvH,27
ibpA,27
group_7046,27
group_3581,27
group_1521,27
gntK,27
folB,27
fdhD,27
coaE,27
artP,27
ampD,27
adk,27
yhcB,26
ycdY,26
sdhC,26
rpsB,26
rpmF,26
rplW,26
ribA,26
mukE,26
moaC,26
ilvM,26
ibpB,26
group_7173,26
group_1369,26
glnK,26
fldA,26
dus,26
dnaB,26
cysJ_2,26
uspB,25
rpsN,25
rpsL,25
rplK,25
rnhA_rnhA_2_rnhA_1,25
rfaH,25
ompX_1,25
menA,25
mdaB,25
hinT,25
group_800,25
group_3589,25
group_2620,25
group_1184,25
gph,25
gloA,25
fucU,25
corC_1,25
tusB,24
tsaE,24
rpsG,24
rpsD,24
rplF,24
rpe_2,24
priB,24
nagA_1,24
moaE,24
ispG_ispG_2,24
iscR,24
group_4003,24
group_1536,24
group_145,24
galE,24
flgM,24
fadR,24
fabA,24
diaA,24
cysC,24
cfa,24
bamE,24
yjaB_2,23
ygdR_1,23
yehT_yehT_1,23
ybaN,23
uspA,23
trpC_trpC_1,23
thiS,23
rplM,23
nusA,23
nei,23
nagB_1,23
mtnN,23
luxS,23
hflC,23
group_747,23
group_7117,23
group_338,23
group_334,23
group_1743,23
group_1239,23
glcC,23
fur,23
exbB_1_exbB_2,23
arfA,23
apt,23
zapA,22
ygaZ,22
ygaV,22
ybeY,22
suhB,22
sfsA,22
rsmA,22
rnt,22
ribC,22
queD,22
pyrF,22
osmB,22
napB,22
group_8049,22
erpA,22
engB,22
ccmC,22
yfcE,21
yccF,21
slyX,21
slyB,21
slyA,21
rpsR,21
rpsI,21
rpsE,21
rplR,21
rplJ,21
rimP,21
pal,21
ompA,21
murF_murF_1,21
manY,21
lexA_4,21
ispF,21
hemN_2_hemN_3,21
grxD,21
group_4736,21
group_2400,21
dsbE,21
dksA,21
cidA,21
cetB,21
ypeA_ypeA_1,20
yhdT,20
ygjH,20
usg_usg_1,20
tusE,20
rpsF,20
rplL,20
nuoH,20
nudE,20
nsrR,20
nfuA,20
lolD_1,20
htpX,20
hfq,20
hemD,20
group_7810,20
group_519,20
group_125,20
dgkA,20
acrZ,20
ygbE,19
ybaB,19
truA,19
sdhE,19
rpsK,19
rpmD,19
ribF,19
mug,19
manZ_1_manZ_2,19
leuD,19
kdsB,19
iscA_2,19
group_390,19
group_3296,19
group_2461,19
feoC,19
dtd,19
dps,19
clpS,19
sspB,18
rsmD_rsmD_2,18
rpsM,18
nrdH,18
minE,18
menI,18
group_7366,18
group_154,18
group_1178,18
bssS,18
rpsU,17
rpsO,17
rpmE,17
rplT,17
rbfA,17
lolB,17
hslV,17
group_678,17
gcvH,17
ftsB,17
ccmD,17
argR,17
trxA_1,16
rpsT,16
rpmJ,16
rpmI,16
O/O128-3-wzx-origin/1-1443,16
mog_mog_2_mog_1,16
mntS,16
iscU,16
iscA_1,16
group_799,16
group_4687,16
group_4093,16
group_2865,16
group_2164,16
gapA,16
apaG,16
sra,15
rpsP,15
O/O164-2-wzx-origin/1-1614,15
nuoI_2_nuoI_1,15
H/H2-2-fliC-origin/1-1494,15
group_7422,15
group_568,15
group_1657,15
exbD_2,15
cnu,15
yniC_2,14
ybgC,14
satP,14
rmf,14
infC,14
ihfB,14
group_4205,14
ftsL,14
csrA,14
baeR_baeR_2,14
ybjM,13
msrC,13
group_876,13
group_1592,13
Stx2b_110_ABJBRM010000291.1|1236nt,12
group_744,12
msrB,11
group_3752,11
cydX,11
O/O128-5-wzy-origin/1-1044,8
Stx1c_12_Z36901|1228nt,7
group_7622,7
O/O128-8-wzx/1-1443,5
O/O128-7-wzx/1-1443,5
O/O128-15-wzy/1-1045,5
H/H2-12-fliC/1-1494,5
Stx1c_12_DQ449666|1228nt,4
H/H2-5-fliC/1-1489,4
Stx1c_23_2020-SEQ-0387|1228nt,3
Stx1c_222_AARSUM010000026.1|1228nt,3
Stx1c_22_2018-SEQ-1382|1228nt,3
O/O128-2-wzy-origin/1-1044,3
Stx2b_452_GCA_027230965.1|1236nt,2
Stx2b_116_ABEATB010000152.1|1236nt,2
Stx2b_116_AAQWQP010000110.1|1236nt,2
Stx2b_110_AATFTC010000164.1|1236nt,2
Stx1c_25_2020-CAL-0073|1228nt,2
Stx1c_12_AARXOJ010000002.1|1229nt,2
O/O128-14-wzy/1-1044,2
Stx2b_55_AB012102|1242nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_324_GCA_011835235.1|1236nt,1
Stx2b_239_GCA_020020755.1|1236nt,1
Stx2b_221_ABFLPP010000340.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_122_DALPBQ010000162.1|1236nt,1
Stx2b_116_JAOQLE010000001.1|1236nt,1
Stx2b_116_AF043627|1236nt,1
Stx2b_116_AASOGG010000102.1|1236nt,1
Stx2b_113_2019-MIN-0073|1236nt,1
Stx2b_111_CAJVJH010000058.1|1236nt,1
Stx2b_110_JAEKHN010000165.1|1236nt,1
Stx2b_110_2019-BUR-0117|1236nt,1
Stx2b_109_AARSUM010000040.1|1236nt,1
Stx2b_101_JAKYQU010000035.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_60_JAHVSC010000007.1|1228nt,1
Stx1c_422_AARTGS010000025.1|1228nt,1
Stx1c_418_LM996413.1|1227nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_2_AB048235|1227nt,1
Stx1c_26_ABDEAZ010000088.1|1228nt,1
O/O128-9-wzx/1-1443,1
O/O128-4-wzx-origin/1-1443,1
H/H2-3-fliC/1-1489,1
H/H2-17-fliC/1-1494,1
H/H2-15-fliC/1-1494,1
H/H2-14-fliC/1-1494,1
H/H2-11-fliC/1-1494,1
H/H21-12-fliC/1-1476,1
#rname,numreads
