gene_name,number_of_reads_mapped
rplN,6
bamD_bamD_1,6
rplX,5
rplE,5
rimP,5
mdh_2,5
group_4080,5
yhcB,4
sfsA,4
rpsQ,4
rpsN,4
rpmC,4
rplP,4
rplM,4
nusA,4
mog_mog_2_mog_1,4
iclR,4
dksA,4
ygdR_1,3
udp,3
tusE,3
tsaE,3
thiS,3
seqA,3
satP,3
rpsS,3
rpsI,3
rpmD,3
rplW,3
rplV,3
rplO,3
rplD,3
pyrF,3
mdaB,3
iscR,3
ilvM,3
ilvE,3
grxD,3
group_8044,3
group_8038,3
group_3713,3
group_3581,3
group_1239,3
glnK,3
galS,3
dtd,3
dnaB,3
alaA,3
yniC_2,2
yjaB_2,2
yfcE,2
ybjM,2
ybfF,2
uspD_uspD_1,2
uspB,2
trxA_2,2
trpC_trpC_1,2
sucD,2
rsmD_rsmD_2,2
rsmA,2
rpsE,2
rpsC,2
rpoA,2
rplR,2
rplL,2
rplK,2
rplJ,2
rplF,2
rplA,2
rpe_2,2
pyrI,2
pta,2
pncC_1,2
pldB_pldB_2,2
osmB,2
O/O128-5-wzy-origin/1-1044,2
O/O128-3-wzx-origin/1-1443,2
nrdH,2
ilvH,2
hflC,2
group_78,2
group_755,2
group_7046,2
group_4736,2
group_4683,2
group_4003,2
group_3589,2
group_338,2
group_2620,2
group_1184,2
group_1178,2
gph,2
glpR_4_glpR_5_glpR_1,2
gcvH,2
frr,2
folB,2
fldA,2
dxr,2
crr,2
bolA,2
aroK,2
arfA,2
apaG,2
zapD,1
zapA,1
yqjE,1
ypeA_ypeA_1,1
yhdT,1
ygjH,1
ygbE,1
ygaV,1
yehT_yehT_1,1
yciK,1
yccF,1
uspA,1
ubiX,1
trxA_1,1
tatC,1
tatB,1
tatA,1
suhB,1
Stx2b_113_2019-MIN-0073|1236nt,1
Stx2b_110_AATFTC010000164.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
sra,1
sdhE,1
rpsT,1
rpsR,1
rpsP,1
rpsM,1
rpsJ,1
rpsF,1
rpsD,1
rpsB,1
rpmJ,1
rpmI,1
rpmF,1
rplT,1
rplC,1
rnt,1
rmf,1
ribF,1
ribA,1
recX,1
rbfA,1
queD,1
purC,1
priB,1
plsY,1
plaP,1
O/O128-7-wzx/1-1443,1
O/O128-14-wzy/1-1044,1
ompX_1,1
nuoB,1
nsrR,1
nfuA,1
nei,1
ndhC,1
napC,1
napB,1
nagB_1,1
nadK_nadK_2,1
murF_murF_1,1
mtnN,1
msrC,1
msrB,1
moaE,1
mntS,1
manZ_1_manZ_2,1
manY,1
manX_2,1
leuD,1
iscU,1
iscA_1,1
infC,1
ihfB,1
hisM,1
hinT,1
H/H2-2-fliC-origin/1-1494,1
H/H2-12-fliC/1-1494,1
hfq,1
group_876,1
group_8049,1
group_7810,1
group_744,1
group_7173,1
group_4140,1
group_3909,1
group_390,1
group_3752,1
group_3296,1
group_2461,1
group_1657,1
group_1656,1
group_154,1
group_1521,1
group_145,1
group_125,1
glpK_2,1
gapA,1
ftsB,1
folE_folE_2,1
fabA,1
exbB_1_exbB_2,1
erpA,1
dnaQ,1
diaA,1
cysJ_2,1
cysC,1
csrA,1
cpxA_cpxA_1,1
coaE,1
cidA,1
cfa,1
cetB,1
can,1
argR,1
ampD,1
adk,1
#rname,numreads
