gene_name,number_of_reads_mapped
ehxA:11:EF204925/1-2997,35
dnaB,34
nagA_1,30
pta,29
pldB_pldB_2,29
nusA,27
hemN_2_hemN_3,27
rplJ,26
ybfF,25
sfsA,25
rplL,25
glpK_2,25
engB,25
satP,24
rsmE,24
rpsB,24
nagB_1,24
nadK_nadK_2,24
group_4080,24
tusE,23
rplA,23
lolB,23
grpE_grpE_1_grpE_2,23
fur,23
trpC_trpC_1,22
plaP,22
luxS,22
hslV,22
cpxA_cpxA_1,22
ybgI,21
tatD_tatD_2,21
rsmA,21
purC,21
kdsB,21
iscR,21
iclR,21
group_7046,21
cysJ_2,21
bamD_bamD_1,21
baeR_baeR_2,21
aroK,21
ampD,21
yccF,20
uidA:CP146653.1:2405030-2406841,20
trxA_2,20
ribF,20
menA,20
hemD,20
group_2865,20
exbB_1_exbB_2,20
dksA,20
bamE,20
artP,20
zapA,19
yehT_yehT_1,19
suhB,19
rimP,19
rfaH,19
nuoH,19
nrdH,19
mug,19
ilvE,19
group_3581,19
dnaQ,19
crr,19
can,19
alaA,19
tatC,18
tatB,18
sucD,18
O/O164-2-wzx-origin/1-1614,18
mtnN,18
mog_mog_2_mog_1,18
mdh_2,18
group_755,18
corC_1,18
yjaB_2,17
uspB,17
rpoA,17
rplF,17
recX,17
queD,17
nuoI_2_nuoI_1,17
nuoB,17
nfuA,17
nei,17
moaB,17
ibpB,17
hisM,17
group_8038,17
fldA,17
exbD_2,17
clpS,17
cfa,17
ygbE,16
ygaZ,16
yfcE,16
tatA,16
rplK,16
priB,16
pncC_1,16
plsY,16
pal,16
ompA,16
murF_murF_1,16
manY,16
ilvM,16
group_8049,16
group_78,16
group_3752,16
group_1743,16
group_1239,16
fabA,16
erpA,16
dus,16
apaG,16
adk,16
zapD,15
ygaV,15
ybgC,15
udp,15
sdhE,15
rpsF,15
rbfA,15
pyrF,15
mukE,15
moaC,15
manZ_1_manZ_2,15
ispG_ispG_2,15
ispF,15
iscA_1,15
infC,15
hinT,15
group_4979,15
group_4736,15
group_4003,15
group_2620,15
group_1369,15
gntK,15
gapA,15
galS,15
fucU,15
fdhD,15
dgkA,15
cysC,15
ypeA_ypeA_1,14
ybaB,14
usg_usg_1,14
truA,14
rsmD_rsmD_2,14
rpsJ,14
rpsD,14
rpe_2,14
rnhA_rnhA_2_rnhA_1,14
napC,14
mreD,14
mdaB,14
leuD,14
htpX,14
group_8044,14
group_7810,14
group_747,14
group_7366,14
group_7173,14
group_3589,14
group_2400,14
group_145,14
glpR_4_glpR_5_glpR_1,14
fadR,14
dsrF,14
coaE,14
yhcB,13
ycdY,13
ybaN,13
uspD_uspD_1,13
thiS,13
sspB,13
sdhC,13
rpsT,13
rpsN,13
rpsM,13
rpsL,13
rpmE,13
rplN,13
rplE,13
rplC,13
pdhR_2,13
manX_2,13
lexA_4,13
iscU,13
hfq,13
group_800,13
group_744,13
group_4140,13
group_1536,13
gph,13
ftsB,13
dxr,13
yqjE,12
yjcH,12
ybeY,12
seqA,12
rpsU,12
rpsQ,12
rpsP,12
rpsG,12
rpsE,12
rplM,12
rplD,12
pyrI,12
ompX_1,12
nudE,12
nsrR,12
ndhC,12
lolD_1,12
iscA_2,12
hflC,12
group_338,12
group_1997,12
group_1592,12
folB,12
feoC,12
dps,12
diaA,12
csrA,12
arfA,12
ygjH,11
ybjM,11
ubiX,11
tusB,11
trxA_1,11
rpsR,11
rpsK,11
rpsI,11
rpmC,11
rplX,11
rplR,11
rplP,11
rplO,11
osmB,11
napB,11
msrB,11
moaE,11
group_799,11
group_519,11
group_1656,11
group_125,11
ftsL,11
frr,11
flgM,11
dsbE,11
cpxR,11
bssS,11
argR,11
tsaE,10
Stx2b_109_GCA_011901285.1|1236nt,10
rpsO,10
rpsC,10
rpmJ,10
rpmI,10
rplT,10
rnt,10
ribC,10
msrC,10
menI,10
ilvH,10
ibpA,10
grxD,10
group_6151,10
group_4687,10
group_4205,10
group_390,10
group_3713,10
group_154,10
galE,10
ccmC,10
apt,10
yniC_2,9
yciK,9
udk_udk_1,9
tusD,9
slyX,9
rpmD,9
mntS,9
minE,9
group_876,9
group_678,9
group_4683,9
group_4093,9
group_334,9
group_2461,9
group_1184,9
gloA,9
glcC,9
yhdT,8
uspA,8
Stx2b_113_2019-MIN-0073|1236nt,8
Stx2b_109_GCA_017758065.1|1236nt,8
slyA,8
ihfB,8
group_3909,8
group_3296,8
gcvH,8
folE_folE_2,8
cidA,8
bolA,8
ygdR_1,7
group_7422,7
group_1657,7
dtd,7
cetB,7
ccmD,7
rpmF,6
rplW,6
rmf,6
O/O75-11-wzy/1-1074,6
group_2164,6
glnK,6
cydX,6
cnu,6
slyB,5
ribA,5
H/H8-1-fliC-origin/1-1479,5
group_568,5
acrZ,5
Stx1c_12_Z36901|1228nt,4
sra,4
rplV,4
O/O75-4-wzx/1-1533,4
group_7117,4
group_1521,4
ehxA:12:EF204923/1-2997,4
rpsS,3
O/O75-7-wzx/1-1533,3
O/O75-5-wzx/1-1533,3
H/H8-4-fliC/1-1479,3
H/H8-3-fliC/1-1479,3
Stx2b_209_GCA_022638015.1|1236nt,2
Stx2b_111_AASFSN010000227.1|1236nt,2
Stx2b_109_ABGOCR010000002.1|1236nt,2
Stx1c_26_ABNCNA010000007.1|1227nt,2
Stx1c_23_2020-SEQ-0387|1228nt,2
Stx1a_206_AAQZCU010000431.1|1227nt,2
Stx1a_104_DABQTS010000012.1|1227nt,2
O/O75-6-wzx/1-1533,2
H/H8-2-fliC-origin/1-1479,2
group_1178,2
ehxA:9:AF043471/1-2997,2
Stx2b_651_GCA_012744495.1|1236nt,1
Stx2b_460_GCA_015392115.1|1236nt,1
Stx2b_45_AJ313015|1236nt,1
Stx2b_394_GCA_021566215.1|1236nt,1
Stx2b_247_GCA_022638215.1|1236nt,1
Stx2b_221_ABECNL010000279.1|1236nt,1
Stx2b_194_AAROPO010000356.1|1236nt,1
Stx2b_186_JAHVOU010000040.1|1236nt,1
Stx2b_118_GCA_020730145.1|1236nt,1
Stx2b_109_AAZFEP010000099.1|1236nt,1
Stx1c_7_AB071624|1228nt,1
Stx1c_60_JAHVSC010000007.1|1228nt,1
Stx1c_418_LM996413.1|1227nt,1
Stx1c_3_AB048237|1228nt,1
Stx1c_345_ABIVXQ010000250.1|1228nt,1
Stx1c_22_2018-SEQ-1382|1228nt,1
Stx1c_12_DQ449666|1228nt,1
Stx1c_12_AARXOJ010000002.1|1229nt,1
Stx1a_9_AAUCMO010000167.1|1227nt,1
Stx1a_48_RRDS01000105.1|1227nt,1
Stx1a_396_DAJLGU010000154.1|1227nt,1
Stx1a_31_AARQIY010000260.1|1227nt,1
Stx1a_231_DABTIZ010000166.1|1227nt,1
Stx1a_193_ABDICZ010000267.1|1227nt,1
Stx1a_173_ABNEXB010000095.1|1227nt,1
Stx1a_166_ABGBSO010000231.1|1227nt,1
Stx1a_143_AASRIM010000276.1|1227nt,1
O/O75-9-wzx/1-1533,1
O/O75-8-wzx/1-1533,1
H/H27-10-fliC/1-1461,1
H/H21-9-fliC/1-1476,1
H/H2-16-fliC/1-1494,1
H/H11-11-fliC/1-1459,1
group_7622,1
#rname,numreads
