gene_name,number_of_reads_mapped
menA,10
yhcB,8
recX,8
nagA_1,8
mdh_2,8
iclR,8
cfa,8
alaA,8
ygjH,7
uspD_uspD_1,7
rpsQ,7
rpsM,7
rpsI,7
rplP,7
rplM,7
nuoB,7
nagB_1,7
hslV,7
group_8044,7
group_6151,7
group_125,7
galS,7
fucU,7
engB,7
udk_udk_1,6
trxA_1,6
sfsA,6
rsmE,6
rpsK,6
rpsE,6
rpsC,6
rpmD,6
rpmC,6
rplV,6
rplO,6
rplL,6
rplA,6
rnt,6
ndhC,6
group_747,6
group_3713,6
group_1656,6
gntK,6
glpR_4_glpR_5_glpR_1,6
gcvH,6
dnaB,6
dgkA,6
can,6
ygdR_1,5
yehT_yehT_1,5
yciK,5
ybgC,5
ybfF,5
ybaN,5
udp,5
tusE,5
sspB,5
seqA,5
rpsS,5
rpsN,5
rplN,5
rplK,5
rplJ,5
rplF,5
rplD,5
pta,5
pncC_1,5
pdhR_2,5
nrdH,5
mug,5
mreD,5
mog_mog_2_mog_1,5
moaC,5
manX_2,5
ispG_ispG_2,5
hfq,5
hflC,5
group_8049,5
group_8038,5
group_4979,5
group_4080,5
group_3909,5
group_2865,5
group_1997,5
glpK_2,5
folE_folE_2,5
feoC,5
dksA,5
diaA,5
cpxA_cpxA_1,5
ampD,5
ygaV,4
ybjM,4
ybgI,4
ybaB,4
tatD_tatD_2,4
tatC,4
tatB,4
suhB,4
sucD,4
sdhE,4
satP,4
rplX,4
rplR,4
rplE,4
rfaH,4
purC,4
pldB_pldB_2,4
nuoI_2_nuoI_1,4
nuoH,4
napC,4
nadK_nadK_2,4
moaB,4
hisM,4
hemN_2_hemN_3,4
group_800,4
group_78,4
group_755,4
group_519,4
group_3752,4
group_3589,4
group_3581,4
group_334,4
group_2620,4
group_1239,4
group_1178,4
gph,4
exbD_2,4
erpA,4
dps,4
cpxR,4
corC_1,4
cnu,4
cidA,4
bamD_bamD_1,4
aroK,4
argR,4
adk,4
zapD,3
zapA,3
yqjE,3
yhdT,3
yfcE,3
yccF,3
uspB,3
uspA,3
tusD,3
tsaE,3
thiS,3
Stx2k_50_12GZSW01|1241nt,3
rsmA,3
rpsR,3
rpsO,3
rpsJ,3
rpsD,3
rpoA,3
rpmF,3
rpmE,3
rplT,3
rplC,3
ribC,3
ribA,3
rbfA,3
priB,3
plaP,3
osmB,3
O/O159-6-wzy/1-1015,3
nsrR,3
nfuA,3
napB,3
msrC,3
moaE,3
manZ_1_manZ_2,3
leuD,3
kdsB,3
iscA_2,3
ilvM,3
ilvE,3
grxD,3
grpE_grpE_1_grpE_2,3
group_799,3
group_7810,3
group_744,3
group_7366,3
group_7173,3
group_7046,3
group_4736,3
group_4205,3
group_390,3
group_3296,3
group_1743,3
group_1536,3
gloA,3
gapA,3
fur,3
flgM,3
exbB_1_exbB_2,3
dtd,3
dsrF,3
dsbE,3
dnaQ,3
cydX,3
cetB,3
ccmD,3
ccmC,3
apt,3
acrZ,3
yjcH,2
yjaB_2,2
ygaZ,2
ybeY,2
usg_usg_1,2
ubiX,2
tusB,2
trxA_2,2
truA,2
trpC_trpC_1,2
Stx2a_30_MZ229605O8:H28|1241nt,2
slyX,2
slyB,2
slyA,2
rpsP,2
rpsL,2
rpsG,2
rpsF,2
rpmJ,2
rpmI,2
rplW,2
rpe_2,2
queD,2
plsY,2
ompX_1,2
ompA,2
nudE,2
murF_murF_1,2
minE,2
menI,2
manY,2
luxS,2
ispF,2
iscU,2
iscR,2
iscA_1,2
infC,2
ilvH,2
ihfB,2
H/H19-11-fliC/1-1842,2
hemD,2
group_7117,2
group_678,2
group_4687,2
group_4093,2
group_4003,2
group_2400,2
group_1657,2
group_1521,2
glcC,2
ftsL,2
folB,2
fldA,2
dus,2
coaE,2
clpS,2
bamE,2
baeR_baeR_2,2
artP,2
arfA,2
apaG,2
ypeA_ypeA_1,1
yniC_2,1
ycdY,1
uidA:CP146653.1:2405030-2406841,1
tatA,1
Stx2k_40_2019-BUR-0118|1241nt,1
Stx2a_723_CP076274.1|1241nt,1
sra,1
rsmD_rsmD_2,1
rpsU,1
rpsT,1
rpsB,1
rnhA_rnhA_2_rnhA_1,1
rmf,1
rimP,1
ribF,1
pyrF,1
pal,1
O/O159-1-wzx-origin/1-1380,1
nusA,1
nei,1
mtnN,1
msrB,1
mntS,1
lolD_1,1
lolB,1
lexA_4,1
htpX,1
hinT,1
H/H19-5-fliC/1-1832,1
H/H19-1-fliC-origin/1-1833,1
group_876,1
group_7622,1
group_7422,1
group_568,1
group_4140,1
group_338,1
group_2461,1
group_1369,1
group_1184,1
fdhD,1
fadR,1
fabA,1
cysJ_2,1
crr,1
bssS,1
#rname,numreads
